  23/07/1881	   70 05 N	  162 10 W	        NA	        NA	                       NA	                       NA	
  24/07/1881	   69 58 N	  162 15 W	        NA	        NA	                       NA	                       NA	
  25/07/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  25/07/1881	   69 57 N	  162 38 W	        NA	        NA	                       NA	                       NA	
  26/07/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  26/07/1881	   68 50 N	  165 10 W	        NA	        NA	                       NA	                       NA	
  27/07/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  27/07/1881	   68 50 N	  165 10 W	        NA	        NA	                       NA	                       NA	
  28/07/1881	        NA	        NA	      68.9	    -165.1	off coal mine arctic ocean	                coal mine	
  28/07/1881	   69 38 N	  169 14 W	        NA	        NA	                       NA	                       NA	
  29/07/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  29/07/1881	   70 48 N	  174 41 W	        NA	        NA	                       NA	                       NA	
  30/07/1881	   70 50 N	  175 40 W	        NA	        NA	                       NA	                       NA	
  31/07/1881	   70 15 N	  178 20 W	        NA	        NA	                       NA	                       NA	
  01/08/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  01/08/1881	   70 35 N	  179 19 W	        NA	        NA	                       NA	                       NA	
  02/08/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  02/08/1881	   70 23 N	  179 15 W	        NA	        NA	                       NA	                       NA	
  03/08/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  03/08/1881	   69 10 N	  179 05 W	        NA	        NA	                       NA	                       NA	
  04/08/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  04/08/1881	   68 03 N	  175 40 W	        NA	        NA	                       NA	                       NA	
  05/08/1881	        NA	        NA	      67.8	    -175.8	             arctic ocean	            cape vankarem	
  05/08/1881	   67 52 N	  175 18 W	        NA	        NA	                       NA	                       NA	
  06/08/1881	        NA	        NA	      67.8	    -175.8	            cape wanharem	            cape vankarem	
  06/08/1881	   67 52 N	  175 18 W	        NA	        NA	                       NA	                       NA	
  07/08/1881	        NA	        NA	      67.8	    -175.8	            cape wankarem	            cape vankarem	
  07/08/1881	   68 12 N	  178 02 W	        NA	        NA	                       NA	                       NA	
  08/08/1881	        NA	        NA	      67.8	    -175.8	            cape wankarem	            cape vankarem	
  08/08/1881	   70 21 N	  178 23 W	        NA	        NA	                       NA	                       NA	
  09/08/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  09/08/1881	   70 21 N	  178 55 W	        NA	        NA	                       NA	                       NA	
  10/08/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  10/08/1881	   70 33 N	  178 05 W	        NA	        NA	                       NA	                       NA	
  11/08/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  11/08/1881	   70 55 N	  177 16 W	        NA	        NA	                       NA	                       NA	
  12/08/1881	   69 46 N	  172 15 W	        NA	        NA	                       NA	                       NA	
  13/08/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  13/08/1881	   69 10 N	  167 10 W	        NA	        NA	                       NA	                       NA	
  14/08/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  14/08/1881	   70 10 N	  162 47 W	        NA	        NA	                       NA	                       NA	
  15/08/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  15/08/1881	   71 14 N	  156 42 W	        NA	        NA	                       NA	                       NA	
  16/08/1881	        NA	        NA	      70.8	    -156.5	             arctic ocean	             point barrow	
  16/08/1881	   71 26 N	  156 05 W	        NA	        NA	                       NA	                       NA	
  17/08/1881	        NA	        NA	      71.4	    -156.5	             point barrow	             point barrow	
  17/08/1881	   71 20 N	  156 17 W	        NA	        NA	                       NA	                       NA	
  18/08/1881	        NA	        NA	      71.4	    -156.5	             point barrow	             point barrow	
  18/08/1881	   70 36 N	  160 57 W	        NA	        NA	                       NA	                       NA	
  19/08/1881	   68 51 N	  164 55 W	        NA	        NA	                       NA	                       NA	
  20/08/1881	   66 33 N	  168 06 W	        NA	        NA	                       NA	                       NA	
  21/08/1881	   65 14 N	  170 12 W	        NA	        NA	                       NA	                       NA	
  22/08/1881	   63 57 N	  171 54 W	        NA	        NA	                       NA	                       NA	
  23/08/1881	   64 23 N	  172 17 W	        NA	        NA	                       NA	                       NA	
  24/08/1881	   64 30 N	  173 19 W	        NA	        NA	                       NA	                       NA	
  25/08/1881	        NA	        NA	      64.4	    -173.3	       plover bay siberia	               plover bay	
  25/08/1881	   64 30 N	  173 19 W	        NA	        NA	                       NA	                       NA	
  26/08/1881	        NA	        NA	      64.4	    -173.3	       plover bay siberia	               plover bay	
  26/08/1881	   64 18 N	  172 26 W	        NA	        NA	                       NA	                       NA	
  27/08/1881	        NA	        NA	      64.4	    -173.3	       plover bay siberia	               plover bay	
  27/08/1881	   65 48 N	  168 45 W	        NA	        NA	                       NA	                       NA	
  28/08/1881	   67 24 N	  171 24 W	        NA	        NA	                       NA	                       NA	
  29/08/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  29/08/1881	   70 20 N	  176 24 W	        NA	        NA	                       NA	                       NA	
  30/08/1881	   71 07 N	  175 57 W	        NA	        NA	                       NA	                       NA	
  31/08/1881	   70 53 N	  174 50 W	        NA	        NA	                       NA	                       NA	
  01/09/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  01/09/1881	   70 32 N	  174 45 W	        NA	        NA	                       NA	                       NA	
  02/09/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  02/09/1881	   69 12 N	  170 44 W	        NA	        NA	                       NA	                       NA	
  03/09/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  03/09/1881	   67 50 N	  166 13 W	        NA	        NA	                       NA	                       NA	
  05/09/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  05/09/1881	   66 58 N	  162 50 W	        NA	        NA	                       NA	                       NA	
  06/09/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  06/09/1881	   68 18 N	  161 20 W	        NA	        NA	                       NA	                       NA	
  07/09/1881	        NA	        NA	      66.5	    -162.8	chamisso island kotzebue sound	           kotzebue sound	
  07/09/1881	   66 18 N	  161 25 W	        NA	        NA	                       NA	                       NA	
  08/09/1881	   66 19 N	  161 25 W	        NA	        NA	                       NA	                       NA	
  09/09/1881	   66 16 N	  161 46 W	        NA	        NA	                       NA	                       NA	
  09/09/1881	        NA	        NA	        NA	        NA	                       NA	                       NA	
  09/09/1881	        NA	        NA	        NA	        NA	                       NA	                       NA	
