  10/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  10/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  11/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  11/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  12/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  12/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  13/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  13/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  14/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  14/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  15/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  15/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  16/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  16/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  17/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  17/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  18/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  18/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  19/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  19/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  20/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  20/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  21/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  21/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  22/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  22/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  23/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  23/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  24/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  24/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  25/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  25/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  26/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  26/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  27/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  27/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  28/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  28/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  29/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  29/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  30/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  30/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  31/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  31/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  01/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  01/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  02/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  02/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  03/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  03/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  04/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  04/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  05/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  05/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  06/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  06/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  07/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  07/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  08/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  08/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  09/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  09/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  10/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  10/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  11/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  11/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  12/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  12/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  13/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  13/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  14/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  14/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  15/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  15/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  16/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  16/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  17/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  17/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  18/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  18/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  19/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  19/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  20/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  20/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  21/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  21/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  22/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  22/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  23/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  23/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  24/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  24/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  25/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  25/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
