          NA	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  04/08/1890	        NA	        NA	      57.1	    -170.3	sw anchorage st paul island	           st paul island	
  04/08/1890	        NA	        NA	      57.1	    -170.3	north side island st paul island	           st paul island	
  05/08/1890	        NA	        NA	      57.1	    -170.3	    sw bay st paul island	           st paul island	
  06/08/1890	        NA	        NA	      56.6	    -169.6	north anchorage st paul island	          north anchorage	
  06/08/1890	        NA	        NA	      57.1	    -170.3	ne anchorage st paul island	           st paul island	
  07/08/1890	        NA	        NA	      57.1	    -170.3	east anchorage st paul island	           st paul island	
  07/08/1890	   55 05 N	  168 55 W	        NA	        NA	                       NA	                       NA	
  10/08/1890	        NA	        NA	        NA	        NA	         onnalaska alaska	                       NA	
  10/08/1890	        NA	        NA	      53.9	    -166.5	         ounalaska alaska	             unalaska bay	
  11/08/1890	        NA	        NA	      53.9	    -166.5	         ounalaska alaska	             unalaska bay	
  11/08/1890	        NA	        NA	      53.9	    -166.5	         ounalaska alaska	             unalaska bay	
  12/08/1890	        NA	        NA	      53.9	    -166.5	         ounalaska alaska	             unalaska bay	
  12/08/1890	        03	        32	      54.0	    -166.7	     cape cheerful wnw  3	            cape cheerful	
  13/08/1890	        NA	        NA	      53.9	    -166.5	         ounalaska alaska	             unalaska bay	
  14/08/1890	        NA	        NA	      53.7	    -166.7	 makushin unalaska island	          unalaska island	
  14/08/1890	        NA	        NA	      56.6	    -169.6	off village st george island	         st george island	
  15/08/1890	        NA	        NA	      56.6	    -169.6	off village st george island	         st george island	
  16/08/1890	        NA	        NA	      56.6	    -169.6	off village st george island	         st george island	
  17/08/1890	        NA	        NA	      56.6	    -169.6	off village st george island	         st george island	
  17/08/1890	        NA	        NA	      56.6	    -169.8	dahuo point st george island sexe  8	             dalnoi point	
  18/08/1890	        NA	        NA	      56.6	    -169.6	off village st george island	         st george island	
  18/08/1890	        NA	        NA	      57.1	    -170.3	se anchorage ne pt st paul id	                  st paul	
  19/08/1890	        NA	        NA	      57.1	    -170.3	se anchorage ne pt st paul id	                  st paul	
  20/08/1890	        NA	        NA	      57.1	    -170.3	se anchorage ne pt st paul island	           st paul island	
  21/08/1890	        NA	        NA	      57.1	    -170.3	se anchorage ne point st paul island	           st paul island	
  21/08/1890	        NA	        NA	      57.1	    -170.3	    sw bay st paul island	           st paul island	
  22/08/1890	        NA	        NA	      57.1	    -170.3	east anchorage st paul island	           st paul island	
  22/08/1890	   57 00 N	  170 12 W	        NA	        NA	                       NA	                       NA	
  23/08/1890	        NA	        NA	      57.1	    -170.3	    sw bay st paul island	           st paul island	
  23/08/1890	        NA	        NA	      54.0	    -166.7	     cape cheerful sexs 4	            cape cheerful	
  24/08/1890	        NA	        NA	      53.9	    -166.5	         ounalaska alaska	             unalaska bay	
  25/08/1890	        NA	        NA	      53.9	    -166.5	         ounalaska alaska	             unalaska bay	
  26/08/1890	        NA	        NA	      53.9	    -166.5	         ounalaska alaska	             unalaska bay	
  28/08/1890	        NA	        NA	      57.1	    -170.3	        sw bay st paul id	                  st paul	
  29/08/1890	        NA	        NA	      56.6	    -169.6	north achorage st paul island	          north anchorage	
  29/08/1890	        NA	        NA	      57.1	    -170.3	        sw bay st paul id	                  st paul	
  30/08/1890	        NA	        NA	      56.6	    -169.6	off village st george island	         st george island	
  30/08/1890	        NA	        NA	      54.0	    -166.7	   cape cheerful se12s 21	            cape cheerful	
  31/08/1890	        NA	        NA	      53.9	    -166.5	         ounalaska alaska	             unalaska bay	
  01/09/1890	        NA	        NA	      53.9	    -166.5	         ounalaska alaska	             unalaska bay	
  01/09/1890	        NA	        NA	      53.9	    -166.5	         ounalaska alaska	             unalaska bay	
  02/09/1890	        NA	        NA	      53.9	    -166.5	         ounalaska alaska	             unalaska bay	
  02/09/1890	        NA	        NA	      53.9	    -166.5	         ounalaska alaska	             unalaska bay	
  03/09/1890	        NA	        NA	      53.9	    -166.5	         ounalaska alaska	             unalaska bay	
  03/09/1890	        NA	        NA	      53.9	    -166.5	         ounalaska alaska	             unalaska bay	
  04/09/1890	        NA	        NA	      53.9	    -166.5	        ann alaska alaska	             unalaska bay	
  04/09/1890	        NA	        NA	      53.9	    -166.5	         ounalaska alaska	             unalaska bay	
  05/09/1890	        NA	        NA	      53.9	    -166.5	         ounalaska alaska	             unalaska bay	
  05/09/1890	        NA	        NA	      53.9	    -166.5	         ounalaska alaska	             unalaska bay	
  06/09/1890	        NA	        NA	      53.9	    -166.5	         ounalaska alaska	             unalaska bay	
  06/09/1890	        NA	        NA	      53.9	    -166.5	         ounalaska alaska	             unalaska bay	
  07/09/1890	        NA	        NA	      53.9	    -166.5	         ounalaska alaska	             unalaska bay	
  08/09/1890	        NA	        NA	      53.9	    -166.5	         ounalaska alaska	             unalaska bay	
  08/09/1890	        NA	        NA	      53.9	    -166.5	         ounalaska alaska	             unalaska bay	
