  19/05/1895,        NA,        NA,22.6,59.5,brid rocks rosario straits bearing ssw 1 mile,                      sur,rosario strait,48.5N,122.75W
  11/07/1907,        NA,        NA,54,-166.5,cape cheerful cascade sw 22 miles,            cape cheerful,,,
  11/07/1907,   55 55 N,  169 27 W,        NA,        NA,                       NA,                       NA,,,
   12/7/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   12/7/1907,   56 56 N,  170 17 W,        NA,        NA,                       NA,                       NA,,,
  13/07/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  13/07/1907,        NA,        NA,57.1,-170.3,north east point saint paul island alaska,           st paul island,,,
  14/07/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  14/07/1907,   57 21 N,  169 45 W,        NA,        NA,north east point saint paul island alaska,                       NA,,,
  15/07/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  15/07/1907,        NA,        NA,55,-170.3,at ne point st paul island ak,                     tyne,st paul island,,
  16/07/1907,        NA,        NA,56.6,-169.8,dalnoi point sxw 35 miles,             dalnoi point,,,
  16/07/1907,        NA,        NA,57.1,-170.3,  village cove saint paul,             village cove,,,
  17/07/1907,        NA,        NA,12.8,-170.3,west landing saint paul island,        saint paul island,,,
  17/07/1907,        NA,        NA,56.6,-169.6,zapadni bay saint george island alaska,      saint george island,,,
  18/07/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  18/07/1907,        NA,        NA,56.6,-169.6,tolstoi point se 14s 31 miles,      saint george island,,,
  19/07/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  19/07/1907,        NA,        NA,57.1,-170.3,  off ne point saint paul,               saint paul,st paul island,,
  20/07/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  20/07/1907,        NA,        NA,57.1,-170.3,village saint paul island alaska,        saint paul island,,,
  21/07/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  21/07/1907,   57 21 N,  169 50 W,57.1,-170.3, saint paul island alaska,        saint paul island,,,
   22/7/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   22/7/1907,        NA,        NA,57.1,-170.3,at village cove saint paul island alaska,        saint paul island,,,
  23/07/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  23/07/1907,        NA,        NA,        NA,        NA,west landing saint paul island alaska,                       NA,st paul island,,
  24/07/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  24/07/1907,   56 18 N,  169 12 W,57.1,-170.3,village cove st paul island alaska,        saint paul island,,,
   25/7/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   25/7/1907,        NA,        NA,55,166.3,          unalaska alaska,                  behring,unalaska bay,,
  26/07/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  26/07/1907,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  27/07/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  27/07/1907,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  28/07/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  28/07/1907,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  29/07/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  29/07/1907,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  30/07/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  30/07/1907,        NA,        NA,54.1,-166.5,          unalaska alaska,             unalaska bay,,,
  31/07/1907,        NA,        NA,54.1,-166.5,            akutan harbor,             ulakhta head,akutan island,,
  31/07/1907,   56 14 N,  168 49 W,        NA,        NA,                       NA,                       NA,,,
  01/08/1907,        NA,        NA,56.6,-169.6,village saint george island,      saint george island,,,
  01/08/1907,        NA,        NA,56.6,-169.6,saint george island alaska,      saint george island,,,
  02/08/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  02/08/1907,   56 19 N,  168 06 W,56.6,-169.6,off village saint george island alaska,      saint george island,,,
  03/08/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  03/08/1907,        NA,        NA,56.6,-169.8,dalnoi point sw 12 w 50 miles,             dalnoi point,,,
  04/08/1907,        NA,        NA,56.6,-169.6,                  village,                     vila,st paul island,,
  04/08/1907,        NA,        NA,57.1,-170.3,off village cove saint paul island,        saint paul island,,,
  05/08/1907,        NA,        NA,57.1,-170.3,village cove saint paul island,        saint paul island,,,
  05/08/1907,        NA,        NA,57.1,-170.3,village cove saint paul island,        saint paul island,,,
  06/08/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  06/08/1907,        NA,        NA,57.1,-170.3,off village cove saint paul island alaska,        saint paul island,,,
  07/08/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  07/08/1907,        NA,        NA,57.1,-170.3,east landing saint paul island,        saint paul island,,,
  08/08/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  08/08/1907,        NA,        NA,57.1,-170.3,off east landing saint paul island alaska,        saint paul island,,,
  09/08/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  09/08/1907,   57 02 N,  170 08 W,57.1,-170.3,off east landing saint paul island alaska,        saint paul island,,,
  10/08/1907,        NA,        NA,56.6,-169.6,village saint george island,      saint george island,,,
  10/08/1907,        NA,        NA,56.6,-169.6,off village saint george island alaska,      saint george island,,,
  11/08/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  11/08/1907,   57 20 N,  170 10 W,56.6,-169.6,off village saint george island alaska,      saint george island,,,
  12/08/1907,        NA,        NA,57.1,-170.3,             village cove,             village cove,,,
  12/08/1907,        NA,        NA,57.1,-170.3,village cove st paul island alaska,           st paul island,,,
  13/08/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  13/08/1907,   59 19 N,  169 16 W,57.1,-170.3,off west landing saint paul island alaska,        saint paul island,,,
  14/08/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  14/08/1907,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  15/08/1907,        NA,        NA,        NA,        NA,                 unalaska,                       NA,,,
  15/08/1907,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  16/08/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  16/08/1907,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  17/08/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  17/08/1907,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  18/08/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  18/08/1907,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  19/08/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  19/08/1907,   54 10 N,  166 45 W,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  20/08/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  20/08/1907,   54 27 N,  167 35 W,        NA,        NA,                       NA,                       NA,,,
  21/08/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  21/08/1907,   55 38 N,  168 35 W,        NA,        NA,                       NA,                       NA,,,
  22/08/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  22/08/1907,        NA,        NA,55,166.3,at sea cruising bering sea alaska,                  behring,,,
  23/08/1907,        NA,        NA,57.1,-170.3,village cove st paul island,           st paul island,,,
  23/08/1907,   57 19 N,  171 45 W,        NA,        NA,                       NA,                       NA,,,
  24/08/1907,        NA,        NA,57.1,-170.3,             village cove,             village cove,,,
  24/08/1907,        NA,        NA,57.1,-170.3,village cove saint paul island,        saint paul island,,,
  25/08/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  25/08/1907,        NA,        NA,56.6,-169.6,village cove saint paul island,      saint george island,,,
  26/08/1907,        NA,        NA,57.1,-170.3,             village cove,             village cove,,,
  26/08/1907,        NA,        NA,57.1,-170.3,off e point saint paul island,        saint paul island,,,
  27/08/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  27/08/1907,        NA,        NA,57.1,-170.3,off north east anchorage saint paul island,        saint paul island,,,
  28/08/1907,        NA,        NA,64.4,-170.3,polovina point wxn 2 miles,        saint paul island,,,
  28/08/1907,        NA,        NA,-33,27.9,east landing saint paul alaska,              east london,st paul island,,
  29/08/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  29/08/1907,        NA,        NA,57.1,-170.3,east landing saint paul island alaska,        saint paul island,,,
  30/08/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  30/08/1907,        NA,        NA,-33,27.9,eaast landing saint paul island alaska,              east london,st paul island,,
  31/08/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  31/08/1907,        NA,        NA,57.1,-170.3,east landing st paul island,           st paul island,,,
  01/09/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  01/09/1907,        NA,        NA,57.1,-170.3,village cove st paul island,           st paul island,,,
  02/09/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  02/09/1907,   54 25 N,  167 03 W,        NA,        NA,                       NA,                       NA,,,
  03/09/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  03/09/1907,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  04/09/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  04/09/1907,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  05/09/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  05/09/1907,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  06/09/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  06/09/1907,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  07/09/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  07/09/1907,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  08/09/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  08/09/1907,   56 51 N,  169 51 W,        NA,        NA,                       NA,                       NA,,,
  09/09/1907,        NA,        NA,56.6,-170.3,             village cove,             village cove,,,
  09/09/1907,        NA,        NA,57.1,-170.3,village cove st paul island,           st paul island,,,
  10/09/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/09/1907,        NA,        NA,57.1,-170.3, ne point  st paul island,           st paul island,,,
  11/09/1907,        NA,        NA,55,-1.5,       ne point ne 1 mile,                     tyne,st paul island,,
  11/09/1907,        NA,        NA,57.1,-170.3,  ne point st paul island,           st paul island,,,
  12/09/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  12/09/1907,        NA,        NA,57.1,-170.3,  ne point st paul island,           st paul island,,,
  13/09/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  13/09/1907,        NA,        NA,57.1,-170.3,  ne point st paul island,           st paul island,,,
  14/09/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  14/09/1907,        NA,        NA,57.1,-170.3,  ne point st paul island,           st paul island,,,
  15/09/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  15/09/1907,        NA,        NA,57.1,-170.3,  ne point st paul island,           st paul island,,,
  16/09/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  16/09/1907,        NA,        NA,57.1,-170.3,  ne point st paul island,           st paul island,,,
  17/09/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  17/09/1907,        NA,        NA,57.1,-170.3,  ne point st paul island,           st paul island,,,
  18/09/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  18/09/1907,        NA,        NA,57.1,-170.3,north east point st paul island,           st paul island,,,
  19/09/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  19/09/1907,        NA,        NA,57.1,-170.3,village cove st paul island,           st paul island,,,
  20/09/1907,        NA,        NA,57.1,-170.3,             village cove,             village cove,,,
  20/09/1907,   56 16 N,  169 25 W,57.1,-170.3,village cove st paul island,           st paul island,,,
  21/09/1907,        NA,        NA,56.6,-169.8,945 salnoi point abeam bearing ne14e distant 19 miles,             dalnoi point,,,
  21/09/1907,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  22/09/1907,        NA,        NA,        NA,        NA,                 unalaska,                       NA,,,
  22/09/1907,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  23/09/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  23/09/1907,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  24/09/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  24/09/1907,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  25/09/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  25/09/1907,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  26/09/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  26/09/1907,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  27/09/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  27/09/1907,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  28/09/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  28/09/1907,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  29/09/1907,     29 09,        NA,        NA,        NA,                       NA,                       NA,,,
  29/09/1907,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  30/09/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  30/09/1907,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  01/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  01/10/1907,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  02/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  02/10/1907,        NA,        NA,53.9,-166.5,          unalaska alaska,             ulakhta head,,,
  03/10/1907,        NA,        NA,15.5,73.9,              unalga pass,                      goa,unalga island,53 58 35N,166 08 39W
  03/10/1907,   52 36 N,  153 25 W,        NA,        NA,                       NA,                       NA,,,
  04/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  04/10/1907,   52 44 N,  155 40 W,        NA,        NA,                       NA,                       NA,,,
  05/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  05/10/1907,   51 57 N,  149 25 W,        NA,        NA,                       NA,                       NA,,,
   6/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   6/10/1907,   57 08 N,  143 08 W,        NA,        NA,                       NA,                       NA,,,
  07/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  07/10/1907,   50 25 N,  137 07 W,        NA,        NA,                       NA,                       NA,,,
  08/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  08/10/1907,   49 22 N,  130 38 W,        NA,        NA,                       NA,                       NA,,,
  09/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  09/10/1907,   48 35 N,  125 50 W,50.7,-1.2,cape flattery e34n 18 miles,                     ryde,cape flattery,48 22 59N,124 42 52W
  10/10/1907,        NA,        NA,22.4,-123.1,2 05 tatoosh light house abeam sse,                     tolo,tatoosh island cape flattery light,48.392N,124.735W
  10/10/1907,        NA,        NA,48.1,-122.8, port townsend washington,            port townsend,,,
  11/10/1907,        NA,        NA,47.6,-122.3,              puget sound,                  seattle,,,
  11/10/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  12/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  12/10/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  13/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  13/10/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  14/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  14/10/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  15/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  15/10/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  16/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  16/10/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  17/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  17/10/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  18/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  18/10/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  19/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  19/10/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  20/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
     Seattle,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  21/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  21/10/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  22/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  22/10/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  23/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  23/10/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  24/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  24/10/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  25/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  25/10/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  26/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  26/10/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  27/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  27/10/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  28/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  28/10/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  29/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  29/10/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  30/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  30/10/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  31/10/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  31/10/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  01/11/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  01/11/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  02/11/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  02/11/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  03/11/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  03/11/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  04/11/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  04/11/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  05/11/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  05/11/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  06/11/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  06/11/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  07/11/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  07/11/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  08/11/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  08/11/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  09/11/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  09/11/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  10/11/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/11/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  11/11/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  11/11/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  12/11/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  12/11/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  13/11/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  13/11/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  14/11/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  14/11/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  15/11/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  15/11/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  16/11/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  16/11/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  17/11/1907,        NA,        NA,48.1,-122.8,              puget sound,            port townsend,,,
  17/11/1907,        NA,        NA,48.1,-122.8, port townsend washington,            port townsend,,,
  18/11/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  18/11/1907,        NA,        NA,48.1,-122.8, port townsend washington,            port townsend,,,
  20/11/1907,        NA,        NA,22.4,114.3,           hadlock harbor,              long harbor,port hadlock,48 02 12N,122 46 30W
  20/11/1907,        NA,        NA,48.1,-122.8, port townsend washington,            port townsend,,,
  20/11/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  20/11/1907,        NA,        NA,48.1,113.9,protection island sxw 12 w 4 mi,                     taio,protection island,48 07 41N,122 55 30W
  21/11/1907,        NA,        NA,29.9,32.6,1125 point wilson sw 1 mile,                     poti,port townsend,,
  21/11/1907,        NA,        NA,29.9,32.6,  port angeles washington,                   port t,port angeles,,
  22/11/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  22/11/1907,        NA,        NA,29.9,32.6,  port angeles washington,                   port t,port angeles,,
  23/11/1907,        NA,        NA,48.1,-122.8,            port townsend,            port townsend,,,
  23/11/1907,        NA,        NA,48.8,-122.8, port townsend washington,            port townsend,,,
  24/11/1907,        NA,        NA,22.4,114.2,           seattle harbor,              tolo harbor,seattle,,
  24/11/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  25/11/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  25/11/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  26/11/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  26/11/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  27/11/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  27/11/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  28/11/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  28/11/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  29/11/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  29/11/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  30/11/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  30/11/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  01/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  01/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  02/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  02/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  03/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  03/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  04/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  04/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  05/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  05/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  06/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  06/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  07/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  07/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  08/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  08/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  09/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  09/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  10/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  11/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  11/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  12/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  12/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  13/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  13/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  14/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  14/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  15/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  15/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  16/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  16/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  17/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  17/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  18/12/1907,        NA,        NA,48.1,-122.8,430 pm anchored off port townsend washington state,            washington dc,port townsend,,
  18/12/1907,        NA,        NA,48.1,-122.8,off port townsend washington,            port townsend,,,
  19/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  19/12/1907,        NA,        NA,48.1,-122.8,off port townsend washington,            port townsend,,,
  20/12/1907,        NA,        NA,48.1,-122.8,            port townsend,            port townsend,,,
  20/12/1907,        NA,        NA,48.1,-122.8,off port townsend washington,            port townsend,,,
  21/12/1907,        NA,        NA,47.6,-122.3,            port townsend,            port townsend,,,
  21/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  22/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  22/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  23/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  23/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  24/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  24/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  25/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  25/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  26/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  26/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  27/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
