          NA,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
   22/6/1886,,,,,,,,,
   22/6/1886,,,37,-76,           chesapeake bay,           chesapeake bay,,,
   23/6/1886,,,,,,,,,
   23/6/1886,,,37,-76,           chesapeake bay,           chesapeake bay,,,
    24/06/1886,,,,,,,,,
    24/06/1886,,,37,-76,standing down chesapeake bay,           chesapeake bay,,,
  25/06/1886,,,36.9,7.8,4 pm cpe charles bore ese,                     bone,cape charles virginia,37 16 3N,0001-12-24
  25/06/1886,     36 05,     75 49,,,    cape henry lighthouse,,,,
    26/06/1886,,,,,,,,,
    26/06/1886,   36 35 N,   74 24 W,,,,,,,
   27/6/1886,,,,,,,,,
   27/6/1886,   36 13 N,   74 34 W,,,,,,,
  28/06/1886,,,,,,,,,
  28/06/1886,   36 31 N,   74 55 W,,,                   74 33w,,,,
   29/6/1886,   16 11 N,,,,,,,,
   29/6/1886,   36 53 N,   75 05 W,,,,,,,
  30/06/1886,,,,,,,,,
  30/06/1886,   37 13 N,   74 37 W,,,,,,,
  01/07/1886,,,,,,,,,
  01/07/1886,   38 14 N,   73 58 W,,,,,,,
  02/07/1886,,,,,,,,,
  02/07/1886,   38 14 N,   73 24 W,,,,,,,
  03/07/1886,,,,,,,,,
  03/07/1886,   38 21 N,   72 10 W,,,,,,,
  04/07/1886,,,,,,,,,
  04/07/1886,   38 59 N,   72 53 W,,,,,,,
    5/7/1886,,,,,,,,,
    5/7/1886,   39 24 N,   72 49 W,,,,,,,
    05/07/1886,,,,,,,,,
    05/07/1886,   40 28 N,   70 13 W,,,,,,,
    07/07/1886,,,,,,,,,
    07/07/1886,   42 08 N,   68 43 W,,,,,,,
  08/07/1886,,,,,,,,,
  08/07/1886,   42 36 N,   67 50 W,,,,,,,
    9/7/1886,,,,,,,,,
    9/7/1886,   42 20 N,   67 45 W,,,,,,,
   10/7/1886,,,,,,,,,
   10/7/1886,   42 48 N,   67 28 W,,,,,,,
    11/07/1886,,,,,,,,,
    11/07/1886,   42 16 N,   68 41 W,,,,,,,
  112/7/1886,,,,,,,,,
  112/7/1886,   42 58 N,   67 33 W,,,                   at sea,,,,
   13/7/1886,,,,,,,,,
   13/7/1886,   42 49 N,   68 14 W,,,                   at sea,,,,
   14/7/1886,,,,,,,,,
   14/7/1886,   43 14 N,   68 56 W,,,,,,,
    15/07/1886,,,,,,,,,
    15/07/1886,,,,,,,,,
    16/07/1886,,,,,,,,,
    16/07/1886,,,36.8,-76.3,lower harbor of portsmouth nh,            portsmouth va,portsmouth new hampshire,43 4 32N,0001-09-24
    17/07/1886,,,,,,,,,
    17/07/1886,,,36.8,-76.3,  navy yard portsmouth nh,            portsmouth va,portsmouth new hampshire,,
    18/07/1886,,,,,,,,,
    18/07/1886,,,50.8,-1.1, navy yard portomouths nh,               portsmouth,portsmouth new hampshire,,
    19/07/1886,,,,,,,,,
    19/07/1886,,,36.8,-76.3,moored to dock navy yard portsmouth nh,            portsmouth va,portsmouth new hampshire,,
   20/7/1886,,,,,,,,,
   20/7/1886,,,36.8,-76.3,  navy yard portsmouth nh,            portsmouth va,portsmouth new hampshire,,
   21/7/1886,,,,,,,,,
   21/7/1886,,,36.8,-76.3,moored to dock navy yard portsmouth nh,            portsmouth va,portsmouth new hampshire,,
   22/7/1886,,,,,,,,,
   22/7/1886,,,36.8,-76.3,  navy yard portsmouth nh,            portsmouth va,portsmouth new hampshire,,
    23/07/1886,,,,,,,,,
    23/07/1886,,,36.8,-76.3,  navy yard portsmouth nh,            portsmouth va,portsmouth new hampshire,,
   24/7/1886,,,,,,,,,
   24/7/1886,,,36.8,-76.3,  navy yard portsmouth nh,            portsmouth va,portsmouth new hampshire,,
   25/7/1886,,,,,,,,,
   25/7/1886,,,36.8,-76.3,  navy yard portsmouth nh,            portsmouth va,portsmouth new hampshire,,
  26/07/1886,,,,,,,,,
  26/07/1886,,,36.8,-76.3,  navy yard portsmouth nh,            portsmouth va,portsmouth new hampshire,,
   27/7/1886,,,,,,,,,
   27/7/1886,,,36.8,-76.3,  navy yard portsmouth nh,            portsmouth va,portsmouth new hampshire,,
    28/07/1886,,,,,,,,,
    28/07/1886,,,36.8,-76.3,  navy yard portsmouth nh,            portsmouth va,portsmouth new hampshire,,
   29/7/1886,,,,,,,,,
   29/7/1886,,,36.8,-76.3,  navy yard portsmouth nh,            portsmouth va,portsmouth new hampshire,,
   30/7/1886,,,,,,,,,
   30/7/1886,,,36.8,-76.3,lower harbor portsmouth nh,            portsmouth va,portsmouth new hampshire,,
   31/7/1886,,,56.2,120.4,fishers island sight bearing pc east whale back pc s by e 34e,                    forth,fishers island new york,41 15 43N,0001-07-02
   31/7/1886,,,36.8,-76.3,lower harbor portsmouth nh,            portsmouth va,portsmouth new hampshire,,
  01/08/1886,,,,,,,,,
  01/08/1886,   42 42 N,   69 57 W,,,,,,,
    02/08/1886,,,,,,,,,
    02/08/1886,   42 03 N,   67 06 W,,,                   at sea,,,,
  03/08/1886,,,,,,,,,
  03/08/1886,   39 56 N,   66 22 W,,,,,,,
  04/08/1886,,,,,,,,,
  04/08/1886,   39 18 N,   66 14 W,,,                   at sea,,,,
  05/08/1886,,,,,,,,,
  05/08/1886,   38 50 N,   67 12 W,,,                   at sea,,,,
  06/08/1886,,,,,,,,,
  06/08/1886,   38 25 N,   69 25 W,,,                   at sea,,,,
    07/08/1886,,,,,,,,,
    07/08/1886,   38 33 N,   69 22 W,,,,,,,
  08/08/1886,,,,,,,,,
  08/08/1886,   38 07 N,   70 52 W,,,                   at sea,,,,
  09/08/1886,   18 01 S,,,,,,,,
  09/08/1886,   37 57 N,   72 58 W,,,,,,,
   10/8/1886,,,,,,,,,
   10/8/1886,   37 51 N,   73 26 W,,,,,,,
  11/08/1886,,,,,,,,,
  11/08/1886,   37 55 N,   74 04 W,,,,,,,
  12/08/1886,,,,,,,,,
  12/08/1886,   37 32 N,   74 20 W,,,,,,,
   13/8/1886,,,43.1,16.7,             cape charles,               fog island,cape charles virginia,,
   13/8/1886,   37 10 N,   75 26 W,,,                   at sea,,,,
