  01/05/1897,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  27/10/1897,,,,,,,,,
  27/10/1897,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  28/10/1897,,,,,,,,,
  28/10/1897,     53 44,    164 51,53.9,-166.5,      dutch harbor alaska,             dutch harbor,north pacific,,
  29/10/1897,,,,,,,,,
  29/10/1897,     53 02,    160 59,53.9,-166.5,from dutch harbor at to seattle wash,             dutch harbor,north pacific,,
  30/10/1897,,,,,,,,,
  30/10/1897,     52 29,    154 56,53.9,-166.5,from dutch harbor at to seattle wash,             dutch harbor,north pacific,,
  31/10/1897,,,,,,,,,
  31/10/1897,     51 45,    149 18,53.9,-166.5,from dutch harbor at to seattle wash,             dutch harbor,north pacific,,
  01/11/1897,,,,,,,,,
  01/11/1897,     51 22,    144 25,53.9,-166.5,from dutch harbor at to seattle wash,             dutch harbor,north pacific,,
  02/11/1897,,,,,,,,,
  02/11/1897,     50 56,    138 29,53.9,-166.5,from dutch harbor at to seattle wash,             dutch harbor,north pacific,,
  03/11/1897,,,,,,,,,
  03/11/1897,     50 05,    132 36,53.9,-166.5,from dutch harbor at to seattle wash,             dutch harbor,north pacific,,
  04/11/1897,,,,,,,,,
  04/11/1897,     49 01,    127 20,53.9,-166.5,from dutch harbor at to seattle wash,             dutch harbor,north pacific,,
  05/11/1897,,,,,,,,,
  05/11/1897,,,22.2,113.9,protection island sxw 12 w 4 miles,                     taio,strait of georgia,49 17 39N,2018-01-02T01:23:00
  06/11/1897,,,22.2,113.9,                  seattle,                     taio,seattle,47 36 35N,2018-08-21T01:22:00
  06/11/1897,,,,,,,,,
  06/11/1897,,,,,,,,,
  06/11/1897,,,,,,,,,
  06/11/1897,,,,,,,,,
  06/11/1897,,,,,,,,,
  06/11/1897,,,,,,,,,
  06/11/1897,,,,,,,,,
  06/11/1897,,,,,,,,,
  06/11/1897,,,,,,,,,
  06/11/1897,,,,,,,,,
  06/11/1897,,,47.6,-122.3,       seattle washington,                  seattle,,,
  21/11/1897,,,,,,,,,
  21/11/1897,,,47.6,-122.3,       seattle washington,                  seattle,,,
  22/11/1897,,,,,,,,,
  22/11/1897,,,47.6,-122.3,       seattle washington,                  seattle,,,
  23/11/1897,,,,,,,,,
  23/11/1897,,,47.6,-122.3,       seattle washington,                  seattle,,,
  24/11/1897,,,,,,,,,
  24/11/1897,,,47.6,-122.3,       seattle washington,                  seattle,,,
  25/11/1897,,,,,,,,,
  25/11/1897,,,47.6,-122.3,       seattle washington,                  seattle,,,
  26/11/1897,,,,,,,,,
  26/11/1897,,,47.6,-122.3,       seattle washington,                  seattle,,,
  27/11/1897,,,,,,,,,
  27/11/1897,,,47.6,-122.8,making passage from seattle wash to port townsend wash,            port townsend,,,
  28/11/1897,,,,,,,,,
  28/11/1897,,,48.1,-122.8, port townsend washington,            port townsend,,,
  29/11/1897,,,,,,,,,
  29/11/1897,     48 39,  126 45 W,53.9,-166.5,from seattle wash to unalaska alaska,             unalaska bay,north pacific,,
  30/11/1897,,,,,,,,,
  30/11/1897,   49 16 N,  131 03 W,53.9,-166.5,from seattle wash to unalaska alaska,             unalaska bay,north pacific,,
  01/12/1897,,,,,,,,,
  01/12/1897,   49 46 N,  135 09 W,53.9,-166.5,from seattle wash to unalaska alaska,             unalaska bay,north pacific,,
  02/12/1897,,,,,,,,,
  02/12/1897,     50 36,    136 54,,,,,north pacific,,
  03/12/1897,,,,,,,,,
  03/12/1897,   51 55 N,  142 23 W,53.9,-166.5,from seattle wash to unalaska alaska,             unalaska bay,north pacific,,
  04/12/1897,,,,,,,,,
  04/12/1897,     53 02,    147 07,47.6,-122.3,at sea passage from seattle wash to unalaska,                  seattle,north pacific,,
  05/12/1897,,,,,,,,,
  05/12/1897,     53 35,    152 04,53.9,-166.5,from seattle wash to unalaska alaska,             unalaska bay,north pacific,,
  06/12/1897,,,,,,,,,
  06/12/1897,     53 47,    156 24,53.9,-166.5,from seattle wash to unalaska alaska,             unalaska bay,north pacific,,
  07/12/1897,,,,,,,,,
  07/12/1897,     53 45,    160 30,53.9,-166.5,from seattle wash to unalaska alaska,             unalaska bay,north pacific,,
  08/12/1897,,,,,,,,,
  08/12/1897,,,53.8,-167, priest rock nexn 3 miles,              priest rock,,,
  09/12/1897,,,53.9,-166.5,             dutch harbor,             dutch harbor,,,
  09/12/1897,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  10/12/1897,,,,,,,,,
  10/12/1897,     55 25,    166 35,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  11/12/1897,,,,,,,,,
  11/12/1897,     59 29,    167 52,55,166.3,        at sea bering sea,                  behring,nunivak island,,
  12/12/1897,,,,,,,,,
  12/12/1897,     63 09,    168 14,55,166.3,        at sea bering sea,                  behring,,,
  13/12/1897,,,,,,,,,
  13/12/1897,     62 33,    168 32,55,166.3,        at sea bering sea,                  behring,,,
  14/12/1897,,,,,,,,,
  14/12/1897,     60 34,    160 50,55,166.3,        at sea bering sea,                  behring,etolin strait,60 20N,2017-12-26T00:00:00
  15/12/1897,,,49.2,-123.1,           cape vancouver,                vancouver,etolin strait,,
  15/12/1897,,,49.2,-123.1,at anchor off cape vancouver hazen bay,                vancouver,etolin strait,,
  16/12/1897,,,,,,,,,
  16/12/1897,   60 31 N,  165 54 W,49.2,-123.1,at anchor off cape vancouver bering sea,                vancouver,etolin strait,,
  17/12/1897,,,,,,,,,
  17/12/1897,     60 45,  168 4100,55,166.3,        at sea bering sea,                  behring,nunivak island,,
  18/12/1897,,,,,,,,,
