    1/1/1887,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  16/03/1887,,,,,,,,,
  16/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  17/03/1887,,,,,,,,,
  17/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
   18/3/1887,,,,,,,,,
   18/3/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  19/03/1887,,,,,,,,,
  19/03/1887,     45 36,     12 34,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  20/03/1887,,,,,,,,,
  20/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  21/03/1887,,,,,,,,,
  21/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  22/03/1887,,,,,,,,,
  22/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  23/03/1887,,,,,,,,,
  23/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  24/03/1887,,,,,,,,,
  24/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  25/03/1887,,,,,,,,,
  25/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  26/03/1887,     26 03,,,,,,,,
  26/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  27/03/1887,,,,,,,,,
  27/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  28/03/1887,,,,,,,,,
  28/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  29/03/1887,,,,,,,,,
  29/03/1887,     34 56,     22 65,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  30/03/1887,,,,,,,,,
  30/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  31/03/1887,,,,,,,,,
  31/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  01/04/1887,,,,,,,,,
  01/04/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  02/04/1887,,,,,,,,,
  02/04/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  03/04/1887,,,,,,,,,
  03/04/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  04/04/1887,,,,,,,,,
  04/04/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  05/04/1887,,,42.2,41.7,           maryland point,                     poti,maryland point light,38.3495N,77.1975W
  05/04/1887,,,37,-76.3,            hampton roads,            hampton roads,,,
  06/04/1887,,,37,-76,          fortress monroe,                    forth,fort monroe,37 00 13N,76 18 27W
  06/04/1887,,,37,-76.3,         hampton roads va,            hampton roads,,,
  07/04/1887,,,,,,,,,
  07/04/1887,,,37,-76.3,hampton roads va  potomac river,            hampton roads,,,
  08/04/1887,,,42.2,41.7,           chesapeake bay,                     poti,chesapeake bay,36 59 45N,75 57 34W
  08/04/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  09/04/1871,,,31.2,-3,             liverpool pt,                     poti,mallows bay,38 28 21.4N,77 16 6.9W
  09/04/1871,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  10/04/1887,,,,,,,,,
  10/04/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  11/04/1887,,,,,,,,,
  11/04/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  12/04/1887,,,,,,,,,
  12/04/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  13/04/1887,,,,,,,,,
  13/04/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  14/04/1887,,,,,,,,,
  14/04/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  15/04/1887,,,,,,,,,
  15/04/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  16/04/1887,,,,,,,,,
  16/04/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  17/04/1887,,,,,,,,,
  17/04/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  18/04/1887,,,,,,,,,
  18/04/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
   19/4/1887,,,,,,,,,
   19/4/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  20/04/1887,,,,,,,,,
  20/04/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
   21/4/1887,,,,,,,,,
   21/4/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  22/04/1887,,,,,,,,,
  22/04/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
   23/4/1887,,,,,,,,,
   23/4/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  24/04/1887,,,,,,,,,
  24/04/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  25/04/1887,,,,,,,,,
  25/04/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  26/04/1887,,,,,,,,,
  26/04/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  27/04/1887,,,,,,,,,
  27/04/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  28/04/1887,,,,,,,,,
  28/04/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  29/04/1887,,,,,,,,,
  29/04/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  30/04/1887,,,,,,,,,
  30/04/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  01/05/1887,,,,,,,,,
  01/05/1887,,,38.9,-77,navy yard washington dc  patuxent river,            washington dc,washington navy yard,,
  02/05/1887,,,22.4,16.7,           lower cedar pt,                     poti,lower cedar point light,38.340N,76.993W
  02/05/1887,,,39.3,-76.6,patuxent river  columbian iron works baltimore md,                baltimore,columbian iron works dry dock,39 16 11.07N,76 35 8.40W
  03/05/1887,,,7.9,-77.3,     columbian iron works,                  columbo,columbian iron works dry dock,,
  03/05/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  04/05/1887,,,,,,,,,
  04/05/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  05/05/1887,,,,,,,,,
