  01/01/1888,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  08/04/1888,,,43.1,16.7,               charles id,                     hvar,floreana island,,
  09/04/1888,,,,,,,,,
  09/04/1888,,,55.6,13.3,at sea albemarle id  at sea,                  alberta,isabela island galapagos,00 30S,2017-08-01T00:00:00
   10/4/1888,,,,,,,,,
   10/4/1888,,,,,      at sea and james id,,,,
  11/04/1888,,,,,,,,,
  11/04/1888,,,-10,39.7,james id  indefatigable island,              gala island,santa cruz island galapagos,00 38S,2017-12-05T00:00:00
  12/04/1888,,,-10,39.7,              cape napean,              gala island,santa cruz island galapagos,,
  12/04/1888,,,30,48.5,indefatigable id  duncan id,                      fao,santa cruz island galapagos,,
  13/04/1888,,,,,,,,,
  13/04/1888,,,51.4,0.5,               chatham id,                  chatham,san cristobal island,,
  14/04/1888,,,,,,,,,
  14/04/1888,   00 35 S,   89 48 W,51.4,0.5,               chatham id,                  chatham,san cristobal island,,
  15/04/1888,,,,,,,,,
  15/04/1888,   00 42 N,   90 51 W,,,              abingdon id,,,,
  16/04/1888,,,,,,,,,
  16/04/1888,   03 45 N,   92 16 W,,,,,,,
  17/04/1888,,,,,,,,,
  17/04/1888,   06 19 N,   93 39 W,,,                   at sea,,,,
  18/04/1888,,,,,,,,,
  18/04/1888,   08 54 N,   94 55 W,,,,,,,
  19/04/1888,,,,,,,,,
  19/04/1888,   11 45 N,   96 34 W,,,                   at sea,,,,
  20/04/1888,,,,,,,,,
  20/04/1888,   14 28 N,   98 09 W,22.2,113.9,         position at noon,                     taio,north pacific,,
  21/04/1888,,,,,,,,,
  21/04/1888,   16 51 N,   99 55 W,55,-1.5,  at sea  acapulco mexico,                      tic,acapulco,16 51 49N,2018-08-07T00:00:00
  22/04/1888,,,,,,,,,
  22/04/1888,,,55,-1.5,          acapulco mexico,                      tic,acapulco,,
  23/04/1888,,,,,,,,,
  23/04/1888,,,55,-1.5,          acapulco mexico,                      tic,acapulco,,
  24/04/1888,,,,,,,,,
  24/04/1888,   17 19 N,  101 45 W,,,,,,,
  25/04/1888,,,,,,,,,
  25/04/1888,   18 33 N,  104 04 W,,,,,,,
  26/04/1888,,,,,,,,,
  26/04/1888,   20 14 N,  105 59 W,,,,,,,
  27/04/1888,,,,,,,,,
  27/04/1888,   22 15 N,  107 58 W,,,,,,,
  28/04/1888,,,,,,,,,
  28/04/1888,   24 17 N,  109 51 W,-8.7,115.2,pichilingue bay lower california,                     bali,la paz baja california sur,24 08 32N,2018-04-03T01:10:00
  29/04/1888,,,,,,,,,
  29/04/1888,   24 22 N,  110 16 W,55,-1.5,          pichilingue bay,                      tic,la paz baja california sur,,
  30/04/1888,,,,,,,,,
  30/04/1888,   23 01 N,  110 05 W,,,,,,,
  01/05/1888,,,,,,,,,
  01/05/1888,   24 30 N,  112 00 W,41.2,9.4,            magdalena bay,                maddalena,magdalena bay,24 35N,2017-07-04T01:12:00
  02/05/1888,,,24.8,-112.3,             cape lorenzo,                     oran,cabo san lazaro,24 47 46N,2017-10-10T01:12:00
  02/05/1888,   26 33 N,  113 30 W,41.1,37.3,        under abocojos pt,                     unye,punta abreojos,26 42 52N,2017-11-21T01:13:00
  03/05/1888,,,,,,,,,
  03/05/1888,   26 48 N,  113 59 W,-8.7,115.2,abreojas pt lower california,                     bali,punta abreojos,,
  04/05/1888,,,,,,,,,
  04/05/1888,   28 14 N,  115 09 W,,,            at sea cerros,,,,
  05/05/1888,,,,,,,,,
  05/05/1888,     30 08,    116 21,,,,,,,
  06/05/1888,,,,,,,,,
  06/05/1888,   32 34 N,  117 55 W,,,smugglers cove san clemente id,,south coronado island,32 24.5N,2017-10-15T01:17:00
  07/05/1888,,,,,,,,,
  07/05/1888,     33 01,    118 33,,,smugglers cove and ne end clemente id,,san clemente island,32 54N,2018-01-30T01:18:00
  08/05/1888,,,,,,,,,
  08/05/1888,   34 24 N,  120 26 W,,,,,,,
  09/05/1888,,,,,,,,,
  09/05/1888,   36 28 N,  122 09 W,,,,,,,
  10/05/1888,,,,,,,,,
  10/05/1888,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  11/05/1888,,,37.8,41.7,        san francisco bay,                     poti,san francisco bay,37 42 30N,2018-06-12T01:22:00
  11/05/1888,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  12/05/1888,,,,,,,,,
  12/05/1888,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  13/05/1888,,,,,,,,,
  13/05/1888,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
   14/5/1888,,,,,,,,,
   14/5/1888,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  15/05/1888,,,,,,,,,
  15/05/1888,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  16/05/1888,,,,,,,,,
  16/05/1888,,,37.8,-122.4,union iron works san francisco cal,        san francisco bay,union iron works,37 45 38.68N,2017-08-01T01:22:00
   17/5/1888,,,,,,,,,
   17/5/1888,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  18/05/1888,,,,,,,,,
  18/05/1888,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  19/05/1888,,,,,,,,,
  19/05/1888,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  20/05/1888,,,,,,,,,
  20/05/1888,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  21/05/1888,,,,,,,,,
  21/05/1888,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  22/05/1888,,,,,,,,,
  22/05/1888,,,37.8,-122.4,union iron works san francisco ca,        san francisco bay,union iron works,,
  23/05/1888,,,,,,,,,
  23/05/1888,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  24/05/1888,,,,,,,,,
  24/05/1888,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  25/05/1888,,,,,,,,,
  25/05/1888,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  26/05/1888,,,,,,,,,
  26/05/1888,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  27/05/1888,,,,,,,,,
  27/05/1888,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  28/05/1888,,,,,,,,,
  28/05/1888,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  29/05/1888,,,,,,,,,
  29/05/1888,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  30/05/1888,,,,,,,,,
  30/05/1888,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  31/05/1888,,,,,,,,,
  31/05/1888,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  01/06/1888,,,,,,,,,
  01/06/1888,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  02/06/1888,,,,,,,,,
  02/06/1888,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  03/06/1888,,,,,,,,,
  03/06/1888,,,37.8,-122.4,union iron works san francisco cal,        san francisco bay,union iron works,,
  04/06/1888,,,,,,,,,
  04/06/1888,,,37.8,-122.4,union iron works san francisco cal,        san francisco bay,union iron works,,
  05/06/1888,,,,,,,,,
  05/06/1888,,,37.8,-122.4,union iron works san francisco cal,        san francisco bay,union iron works,,
  06/06/1888,,,,,,,,,
  06/06/1888,,,37.8,-122.4,union iron works san francisco cal,        san francisco bay,union iron works,,
  07/06/1888,,,,,,,,,
  07/06/1888,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  08/06/1888,,,,,,,,,
