21/04/1894,        NA,        NA_2,37.8,-122.4,            san francisco,            san francisco_2,h,i,j
  31/07/1894,   68 21 N,  166 43 W,,,,,,,
  01/08/1894,,,68.3,-166.8,at anchor off point hope alaska,               point hope,,,
  01/08/1894,   68 43 N,  166 24 W,,,,,,,
  02/08/1894,,,,,,,,,
  02/08/1894,   69 34 N,  163 28 W,,,,,,,
  03/08/1894,,,,,,,,,
  03/08/1894,   70 38 N,  160 10 W,,,,,,,
  04/08/1894,,,,,,,,,
  04/08/1894,   71 13 N,  156 48 W,,,,,,,
  05/08/1894,,,,,,,,,
  05/08/1894,,,71.4,-156.5,anchored off refuge station point barrow alaska,             point barrow,,,
  06/08/1894,,,71.4,-156.5,      point barrow alaska,             point barrow,,,
  06/08/1894,,,,,anchored off refuge station point barrow alaska,,,,
  07/08/1894,,,,,us refuge station point barrow alaska,,,,
  07/08/1894,   71 08 N,  157 10 W,,,,,,,
  08/08/1894,,,71.4,-156.5,      point barrow alaska,             point barrow,,,
  08/08/1894,   71 00 N,  158 00 W,,,,,,,
  09/08/1894,,,,,       skull cliff alaska,,,,
  09/08/1894,   70 42 N,  160 24 W,,,,,,,
  10/08/1894,,,,,,,,,
  10/08/1894,   69 47 N,  162 58 W,,,,,,,
  11/08/1894,,,70.4,-161.9,blossom shoal icy cape alaska,           blossom shoals,,,
  11/08/1894,   68 53 N,  164 48 W,,,,,,,
  12/08/1894,,,68.9,-165.1,         corwin coal mine,         corwin coal mine,,,
  12/08/1894,   68 53 N,  164 48 W,68.9,-165.1,  corwin coal mine alaska,         corwin coal mine,,,
  13/08/1894,,,68.9,-165.1,  corwin coal mine alaska,         corwin coal mine,,,
  13/08/1894,   68 57 N,  165 00 W,,,,,,,
  14/08/1894,,,,,,,,,
  14/08/1894,   68 23 N,  166 55 W,68.3,-166.8,        point hope alaska,               point hope,,,
  15/08/1894,,,68.3,-166.8,at anchor off point hope alaska,               point hope,,,
  15/08/1894,   67 18 N,  167 53 W,,,,,,,
  16/08/1894,,,68.3,-166.8,at 925 made out east cape bearing swxw,               point hope,cape dezhnev,,
  16/08/1894,   66 00 N,  170 00 W,,,,,,,
  17/08/1894,,,,,,,,,
  17/08/1894,   66 16 N,  169 58 W,,,,,,,
  18/08/1894,,,,,,,,,
  18/08/1894,   65 44 N,  168 58 W,,,,,,,
  19/08/1894,,,31.5,118.4,enmitowan village siberia,                    erjia,tin city,65 33 31N,167 56 53W
  19/08/1894,,,65.2,-166.7,     port clarence alaska,           port clearance,port clarence bay,,
  20/08/1894,,,65.2,-166.7,     port clarence alaska,           port clearance,port clarence bay,,
  20/08/1894,,,65.2,-166.7,     port clarence alaska,           port clearance,port clarence bay,,
  21/08/1894,,,65.2,-166.7,anchored off us reindeer station port clarence alaska,           port clearance,port clarence bay,,
  21/08/1894,   65 19 N,  167 12 W,,,,,,,
  22/08/1894,,,,,anchored off us reindeer station port clarence alaska,,port clarence bay,,
  22/08/1894,   64 35 N,  170 00 W,,,,,,,
  23/08/1894,,,,,,,,,
  23/08/1894,   64 25 N,  172 08 W,,,,,,,
  24/08/1894,,,55,166.3,        at sea bering sea,                  behring,,,
  24/08/1894,,,43.7,7.2,anchored off st lawrence village st lawrence id,                     nice,st lawrence island,63 24N,170 10W
  25/08/1894,,,,,,,,,
  25/08/1894,,,43.7,7.2,anchored off stlawrence village ns rt st lawrence id,                     nice,st lawrence island,,
  26/08/1894,,,43.7,7.2,anchored off st lawrence village st lawrence id,                     nice,st lawrence island,,
  26/08/1894,,,,,            anchored 2400,,st lawrence island,,
  27/08/1894,,,43.7,7.2,anchored off stlawrence village ns rt st lawrence id,                     nice,st lawrence island,,
  27/08/1894,,,43.7,7.2,anchored off st lawrence id nw point,                     nice,st lawrence island,,
  28/08/1894,,,43.7,7.2,anchored off stlawrence village st lawrence id,                     nice,st lawrence island,,
  28/08/1894,   64 10 N,  171 17 W,43.7,7.2,off st lawrence id nw point,                     nice,st lawrence island,,
  29/08/1894,,,43.7,7.2,anchored off stlawrence village st lawrence id,                     nice,st lawrence island,,
  29/08/1894,,,66.2,-169.8,anchored off whalen village siberia,                   whalen,uelen,,
  30/08/1894,,,,,,,,,
  30/08/1894,,,31.5,118.4,off kilowroun village siberia,                    erjia,enurmino,,
  31/08/1894,,,,,,,,,
  31/08/1894,,,31.5,118.4,anchored off kilouwun village siberia,                    erjia,enurmino,,
  01/09/1894,,,,,,,,,
  01/09/1894,,,31.5,118.4,anchored off envwrwan village siberia,                    erjia,enurmino,,
  02/09/1894,,,31.5,118.4,anchored off kilouwun village siberia,                    erjia,enurmino,,
  02/09/1894,,,31.5,118.4,enororwan village siberia,                    erjia,enurmino,,
  03/09/1894,,,31.5,118.4,enororwan village siberia,                    erjia,enurmino,,
  03/09/1894,   66 48 N,  171 08 W,,,,,,,
  04/09/1894,,,31.5,118.4,enororwan village siberia,                    erjia,enurmino,,
  04/09/1894,   65 37 N,  168 07 W,69.8,176.2,off south east ratmanoff id bering strait,              long strait,ratmanov island,65 46 52N,169 03 25W
  05/09/1894,,,55,-1.5,      at sea arctic ocean,                      tic,ratmanov island,,
  05/09/1894,,,,,anchored off us reindeer station port clarence alaska,,port clarence bay,,
  06/09/1894,,,,,anchored off us reindeer station port clarence alaska,,port clarence bay,,
  06/09/1894,,,,,anchored off us reindeer station port clarence alaska,,port clarence bay,,
  07/09/1894,,,65.2,-166.7,     port clarence alaska,           port clearance,port clarence bay,,
  07/09/1894,,,,,anchored off reindeer station port clarence alaska,,port clarence bay,,
  08/09/1894,,,65.2,-166.7,     port clarence alaska,           port clearance,port clarence bay,,
  08/09/1894,   64 46 N,  167 37 W,,,,,,,
  09/09/1894,,,,,,,,,
  09/09/1894,   63 33 N,  161 43 W,,,,,,,
  10/09/1894,,,4,9.7,      norton sound alaska,                    duala,norton sound,63 50 57N,164 16 08W
  10/09/1894,,,63.5,-162,anchored off st michael alaska,               st michael,,,
  11/09/1894,,,63.5,-162,       st michaels alaska,               st michael,,,
  11/09/1894,,,63.5,-162,anchored off st michael alaska,               st michael,,,
  12/09/1894,,,63.5,-162,       st michaels alaska,               st michael,,,
  12/09/1894,     64 00,  162 11 W,63.5,-162,anchored off st michael alaska,               st michael,,,
  13/09/1894,,,63.5,-162,       st michaels alaska,               st michael,,,
  14/09/1894,   63 55 N,  165 16 W,,,,,,,
  14/09/1894,,,32.2,119.3,            sledge island,              deer island,sledge island,64 29 9.02N,166 12 35.12W
  14/09/1894,     63 49,  171 08 W,43.7,7.2,anchored off nw pt st lawrence id,                     nice,st lawrence island,,
  15/09/1894,,,36.1,-28.6,        at sea bering sea,                      gib,st lawrence island,,
  15/09/1894,   63 23 N,  172 28 W,43.7,7.2,anchored off nw pointvillage st lawrence id,                     nice,st lawrence island,,
  16/09/1894,,,43.7,7.2,anchored off nw pt st lawrence id,                     nice,st lawrence island,,
  16/09/1894,   61 16 N,  173 11 W,,,,,,,
  17/09/1894,,,56.2,-135.8,             cape upright,                    forth,st matthew island,60 24 31N,172 43 12W
  17/09/1894,   59 00 N,  171 02 W,,,,,,,
  18/09/1894,,,55,166.3,        at sea bering sea,                  behring,,,
  18/09/1894,   57 17 N,  170 02 W,57.1,-170.3,anchored off sw anchorage st paul id,                  st paul,,,
  19/09/1894,,,57.1,-170.3,  east landing st paul id,                  st paul,,,
  19/09/1894,   56 11 N,  168 53 W,,,,,,,
  20/09/1894,,,56.6,-169.6,        st george village,                st george,,,
  20/09/1894,,,53.9,-166.5, dutch harbor unalaska id,             dutch harbor,,,
  21/09/1894,,,55,-166.7,        at sea bering sea,             dutch harbor,,,
  21/09/1894,,,53.9,-166.5,dutch harbor unalaska alaska,             dutch harbor,,,
  22/09/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  22/09/1894,,,53.9,-166.5, dutch harbor unalaska id,             dutch harbor,,,
  23/09/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  23/09/1894,,,,,            anchored 2400,,,,
  24/09/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  24/09/1894,,,53.9,-166.5, dutch harbor unalaska id,             dutch harbor,,,
  25/09/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  25/09/1894,,,53.9,-166.5,dutch harbor unalaska alaska,             dutch harbor,,,
  26/09/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  26/09/1894,,,53.9,-166.5,dutch harbor unalaska alaska,             dutch harbor,,,
  27/09/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  27/09/1894,   54 06 N,  166 37 W,,,,,,,
  28/09/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  28/09/1894,   56 14 N,  169 05 W,,,,,,,
  29/09/1894,,,55,166.3,        at sea bering sea,                  behring,,,
  29/09/1894,     56 40,  169 20 W,,,,,,,
  30/09/1894,,,55,166.3,        at sea bering sea,                  behring,,,
  30/09/1894,,,57.1,-170.3,anchored off east landing st paul island,           st paul island,,,
  01/10/1894,,,57.1,-170.3,        st paul id alaska,                  st paul,,,
  01/10/1894,   56 14 N,  169 10 W,,,,,,,
  02/10/1894,,,55,166.3,        at sea bering sea,                  behring,,,
  02/10/1894,,,53.9,-166.5,dutch harbor unalaska island,             dutch harbor,,,
  03/10/1894,,,55,166.3,        at sea bering sea,                  behring,,,
  03/10/1894,,,53.7,-166.7,dutch harbor unalaska island,          unalaska island,,,
  04/10/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  04/10/1894,,,53.9,-166.5,dutch harbor unalaska alaska,             dutch harbor,,,
  05/10/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  05/10/1894,,,53.9,-166.5,dutch harbor unalaska alaska,             dutch harbor,,,
  06/10/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  06/10/1894,,,53.9,-166.5,dutch harbor unalaska alaska,             dutch harbor,,,
  07/10/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  07/10/1894,,,53.9,-166.5,dutch harbor unalaska alaska,             dutch harbor,,,
  08/10/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  08/10/1894,,,53.9,-166.5,dutch harbor unalaska alaska,             dutch harbor,,,
  09/10/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  09/10/1894,,,53.9,-166.5,dutch harbor unalaska alaska,             dutch harbor,,,
  10/10/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  10/10/1894,,,53.9,-166.5,dutch harbor unalaska alaska,             dutch harbor,,,
  11/10/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  11/10/1894,,,53.9,-166.5,dutch harbor unalaska alaska,             dutch harbor,,,
  12/10/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  12/10/1894,,,53.9,-166.5,dutch harbor unalaska alaska,             dutch harbor,,,
  13/10/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  13/10/1894,,,53.9,-166.5,dutch harbor unalaska alaska,             dutch harbor,,,
  14/10/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  14/10/1894,,,53.9,-166.5,dutch harbor unalaska alaska,             dutch harbor,,,
  15/10/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  15/10/1894,,,53.9,-166.5,dutch harbor unalaska alaska,             dutch harbor,,,
  16/10/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  16/10/1894,,,53.9,-166.5,dutch harbor unalaska alaska,             dutch harbor,,,
  17/10/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  17/10/1894,,,53.9,-166.5,dutch harbor unalaska alaska,             dutch harbor,,,
  18/10/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  18/10/1894,,,53.9,-166.5,dutch harbor unalaska alaska,             dutch harbor,,,
  19/10/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  19/10/1894,,,53.9,-166.5,dutch harbor unalaska alaska,             dutch harbor,,,
  20/10/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  20/10/1894,,,53.9,-166.5,dutch harbor unalaska alaska,             dutch harbor,,,
  21/10/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  21/10/1894,,,53.9,-166.5,dutch harbor unalaska alaska,             dutch harbor,,,
  22/10/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  22/10/1894,,,53.9,-166.5,dutch harbor unalaska alaska,             dutch harbor,,,
  23/10/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  23/10/1894,,,53.9,-166.5,dutch harbor unalaska alaska,             dutch harbor,,,
  24/10/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  24/10/1894,,,53.9,-166.5,dutch harbor unalaska alaska,             dutch harbor,,,
  25/10/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  25/10/1894,   54 19 N,  166 50 W,,,,,,,
  26/10/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  26/10/1894,   56 23 N,  170 00 W,,,,,,,
  27/10/1894,,,55,166.3,        at sea bering sea,                  behring,,,
  27/10/1894,   57 00 N,  170 07 W,57.1,-170.3,         st george island,         st george island,,,
  28/10/1894,,,55,166.3,        at sea bering sea,                  behring,,,
  28/10/1894,     55 42,  168 23 W,56.6,-169.6,anchored off st george village alaska,                st george,,,
  29/10/1894,,,56.6,-169.6,anchored off st george village alaska,                st george,,,
  29/10/1894,   54 08 N,  166 32 W,,,,,,,
  30/10/1894,,,55,166.3,        at sea bering sea,                  behring,,,
  30/10/1894,,,53.9,-166.5, at wharf unalaska alaska,             unalaska bay,,,
  31/10/1894,,,53.9,-166.5,at anchor unalaska alaska,             unalaska bay,,,
  31/10/1894,   53 48 N,  165 36 W,,,,,,,
