  01/01/1894,        NA,        NA_2,37.8,-122.4,        san francisco cal,        san francisco bay,h,i,j
  24/06/1893,,,65.2,-166.7,     port clarence alaska,           port clearance,,,
  25/06/1893,,,,,,,,,
  25/06/1893,,,,,point spencer port clarence alaska,,,,
  26/06/1893,,,,,,,,,
  26/06/1893,,,,,point spencer port clarence alaska,,,,
  27/06/1893,,,,,west end of small diomede id abeam,,bering strait,66 0N,169 0W
  27/06/1893,   65 42 N,  169 37 W,63.1,-168.9,                      8pm,                east cape,bering strait,,
  28/06/1893,,,,,,,,,
  28/06/1893,   65 18 N,  169 45 W,65.7,-171.1,at anchor st lawrence bay siberia,          st lawrence bay,,,
  29/06/1893,,,,,,,,,
  29/06/1893,,,65.2,-166.7,pt spencer port clarence alaska,           port clearance,,,
  30/06/1893,,,,,,,,,
  30/06/1893,,,,,point spencer port clarence alaska,,,,
  30/06/1893,,,,,,,,,
  30/06/1893,,,65.2,-166.7,alongside coaling bk jd peters pt spencer port clarence alaska,           port clearance,,,
  01/07/1893,,,,,,,,,
  01/07/1893,,,65.2,-166.7,point spencer port clarence alaska,           port clearance,,,
  02/07/1893,,,,,,,,,
  02/07/1893,,,65.2,-166.7,point spencer port clarence alaska,           port clearance,,,
  03/07/1893,,,,,,,,,
  03/07/1893,,,65.2,-166.7,point spencer port clarence alaska,           port clearance,,,
  04/07/1893,,,,,,,,,
  04/07/1893,,,65.2,-166.7,point spencer port clarence alaska,           port clearance,,,
  05/07/1893,,,,,,,,,
  05/07/1893,,,,,at anchor point spencer port clarence alaska,,,,
  06/07/1893,,,,,,,,,
  06/07/1893,,,,,point spencer port clarence alaska,,,,
  07/07/1893,,,,,,,,,
  07/07/1893,   65 24 N,  169 39 W,,,point spencer port clarence alaska,,bering strait,,
  08/07/1893,,,,,,,,,
  08/07/1893,,,65.7,-171.1,at anchor south side of south head st lawrence bay siberia,          st lawrence bay,,,
  09/07/1893,,,,,,,,,
  09/07/1893,,,53.4,-3,bering sea on passage from south head siberia to prince of wales alaska and port clarence alaska,               south head,bering strait,,
  10/07/1893,,,,,,,,,
  10/07/1893,,,,,at anchor port clarence reindeer station alaska,,,,
  11/06/1893,,,,,,,,,
  11/06/1893,,,,,at anchor port clarence reindeer station alaska,,,,
  11/07/1893,,,,,,,,,
  11/07/1893,,,,,at anchor port clarence reindeer station alaska,,,,
  12/07/1893,,,,,,,,,
  12/07/1893,,,65.2,-166.7,port clarence reindeer station alaska,           port clearance,,,
  13/07/1893,,,,,,,,,
  13/07/1893,,,65.8,-169.1,       nw pt ratmanoff id,                 ratmanof,,,
  14/07/1893,,,65.8,-169.1,             ratmanoff id,                 ratmanof,,,
  14/07/1893,,,63.1,-168.9,at anchor south side of east cape siberia,                east cape,cape dezhnev,66 4 45N,169 39 7W
  15/07/1893,,,,,,,,,
  15/07/1893,,,63.1,-168.9,at anchor south side of east cape siberia,                east cape,cape dezhnev,,
  16/07/1893,,,,,,,,,
  16/07/1893,,,55,-1.5,       at sea artic ocean,                      tic,uelen,66 09 34N,169 48 33W
  17/07/1893,,,,,,,,,
  17/07/1893,,,31.5,118.4,at anchor off euchorran village siberia,                    erjia,inchoun,66 18N,170 17W
  18/07/1893,,,,,,,,,
  18/07/1893,,,60.1,-149.4,at anchor to the westward of whalen village siberia,                   seward,uelen,,
  19/07/1893,,,,,,,,,
  19/07/1893,   66 16 N,  169 52 W,31.5,118.4,at anchor off utan village siberia,                    erjia,uelen,,
  20/07/1893,,,,,,,,,
  20/07/1893,   66 42 N,  164 28 W,53.4,-129.4,at sea arctic ocean on passage from euchorran siberia to kotzebue,                    erjia,kotzebue sound,66 32 46N,162 44 58W
  21/07/1893,,,,,,,,,
  21/07/1893,,,66.5,-162.8,cape blossom alaska ene 14 e 3 miles,           kotzebue sound,,,
  22/07/1893,,,,,,,,,
  22/07/1893,   67 36 N,  164 43 W,55,-1.5,      at sea arctic ocean,                      tic,kivalina,67 43 38N,164 32 21W
  23/07/1893,,,,,,,,,
  23/07/1893,   68 35 N,  166 27 W,,,       off pt hope alaska,,,,
  24/07/1893,,,,,,,,,
  24/07/1893,   69 13 N,  164 36 W,68.9,-166.2,north of cape lisburne alaska,            cape lisburne,,,
  25/07/1893,,,,,,,,,
  25/07/1893,   69 52 N,  162 54 W,55,-1.5,            noon bearings,                      tic,point lay,69 44 28N,163 0 31W
  26/07/1893,,,,,,,,,
  26/07/1893,   70 26 N,  160 32 W,55,-1.5,       at sea artic ocean,                      tic,wainwright,70 38 50N,160 00 58W
  27/07/1893,,,,,,,,,
  27/07/1893,   70 57 N,  158 52 W,70.8,-159.7,at anchor off cape collie alaska,            point belcher,,,
  28/07/1893,,,,,,,,,
  28/07/1893,,,55,-1.5,us refuge station pt barrow alaska sse 1 12 miles,           refuge station,point barrow refuge station,71 17 52N,156 46 23W
  29/07/1893,,,,,,,,,
  29/07/1893,,,,,at anchor off us refuge station point barrow alaska,,point barrow refuge station,,
  30/07/1893,,,,,,,,,
  30/07/1893,,,,,at anchor off us refuge station point barrow alaska,,point barrow refuge station,,
  31/07/1893,,,,,,,,,
  31/07/1893,,,,,at anchor off refuge station point barrow alaska,,point barrow refuge station,,
  31/07/1893,,,,,,,,,
  31/07/1893,,,71.3,-156.8,at anchor off us refuge station point barrow alaska,           refuge station,point barrow refuge station,,
  01/08/1893,,,,,,,,,
  01/08/1893,,,71.3,-156.8,at anchor off us refuge station cape smyth alaska,           refuge station,point barrow refuge station,,
  02/08/1893,,,,,,,,,
  02/08/1893,   70 59 N,  159 30 W,54.1,-3.2,                      8pm,                   barrow,seashore islands,70.896574,-158.930903
  03/08/1893,,,,,,,,,
  03/08/1893,,,55,-1.5,       at sea artic ocean,                      tic,seashore islands,,
  04/08/1893,,,,,,,,,
  04/08/1893,,,71.4,-156.5,at anchor off point barrow alaska,             point barrow,,,
  05/08/1893,,,,,,,,,
  05/08/1893,,,71.4,-156.5,at anchor off port barrow alaska,             point barrow,,,
  06/08/1893,,,,,,,,,
  06/08/1893,,,71.4,-156.5,at anchor off port barrow alaska,             point barrow,,,
  07/08/1893,,,,,,,,,
  07/08/1893,,,71.4,-156.5,at anchor off point barrow alaska,             point barrow,,,
  08/08/1893,,,,,,,,,
  08/08/1893,   71 14 N,  157 17 W,71.4,-156.5,  off point barrow alaska,             point barrow,,,
  09/08/1893,,,,,,,,,
  09/08/1893,,,71.4,-156.5,at anchor off port barrow alaska,             point barrow,,,
  09/08/1893,,,,,,,,,
  09/08/1893,   69 56 N,  163 21 W,55,-1.5,      at sea arctic ocean,                      tic,point lay,,
  10/08/1893,,,,,,,,,
  10/08/1893,,,68.9,-166.2,bearings cape lisbourne nne x point hope swxs 12 s,            cape lisburne,,,
  11/08/1893,,,,,,,,,
  11/08/1893,,,68.3,-166.8,at anchor north side of point hope alaska,               point hope,,,
  12/08/1893,,,,,,,,,
  12/08/1893,   67 03 N,  170 35 W,,,from point hope alaska to cape serdzekamen siberia,,,,
  13/08/1893,,,,,,,,,
  13/08/1893,,,66.9,-171.6,at anchor west of cape serdzekamen siberia,         cape serdzekamen,,,
  14/08/1893,,,,,,,,,
  14/08/1893,,,66.9,-171.6,at anchor west side of cape serdzekamen siberia,         cape serdzekamen,,,
  15/08/1893,,,,,,,,,
  15/08/1893,   66 37 N,  172 10 W,66.9,-171.6,west side of cape serdzekamen siberia,         cape serdzekamen,,,
  16/08/1893,,,,,,,,,
  16/08/1893,,,66.9,-171.6,at anchor west of cape serdzekamen siberia,         cape serdzekamen,,,
  17/08/1893,,,,,,,,,
  17/08/1893,,,55,-1.5,       at sea artic ocean,                      tic,cape serdtse kamen,66 54 30N,171 37 50W
  18/08/1893,,,,,,,,,
  18/08/1893,   66 54 N,  171 35 W,66.9,-171.6,at anchor south of cape serdzekamen siberia,         cape serdzekamen,,,
  19/08/1893,,,,,,,,,
  19/08/1893,   66 27 N,  170 27 W,55,-1.5,       at sea artic ocean,                      tic,inchoun,,
  20/08/1893,,,,,,,,,
  20/08/1893,,,55,166.3,        at sea bering sea,                  behring,,,
  21/08/1893,,,,,reindeer station port clarence,,port clarence alaska,65 15 58N,166 51 10W
  21/08/1893,,,,,off reindeer station port clarence alaska,,port clarence alaska,,
  22/08/1893,,,,,,,,,
  22/08/1893,   65 20 N,  167 18 W,,,at anchor off raindeer station port clarence alaska,,port clarence alaska,,
  23/08/1893,,,,,,,,,
  23/08/1893,   65 27 N,  171 10 W,55,166.3,        at sea bering sea,                  behring,lorino chukotka,65 30 15N,171 42 15W
  24/08/1893,,,,,,,,,
  24/08/1893,   65 27 N,  171 12 W,65.7,-171.1,            noon bearings,               south head,,,
  25/08/1893,,,,,,,,,
  25/08/1893,,,65.7,-171.1,at anchor south side of south head st lawrence bay siberia,          st lawrence bay,,,
  26/08/1893,,,,,,,,,
  26/08/1893,,,55,166.3,        at sea bering sea,                  behring,cape prince of wales,65 38 24N,168 7 12W
  27/08/1893,,,53.4,-3,        c prince of wales,                     alex,cape prince of wales,,
  27/08/1893,   65 34 N,  168 00 W,53.4,-3,off cape prince of wales alaska,                     alex,cape prince of wales,,
  28/08/1893,,,,,,,,,
  28/08/1893,   65 34 N,  168 00 W,53.4,-3,off cape prince of wales alaska,                     alex,cape prince of wales,,
  28/08/1893,,,,,,,,,
  28/08/1893,,,,,at anchor off reindeer station port clarence alaska,,port clarence alaska,,
  29/08/1893,,,,,,,,,
  29/08/1893,,,53.4,-3,at anchor off reindeer station port clarence alaska,                     alex,port clarence alaska,,
  30/08/1893,,,,,,,,,
  30/08/1893,,,55,166.3,reindeer station port clarence alaska,                  behring,port clarence alaska,,
  31/08/1893,,,,,,,,,
  31/08/1893,,,,,,,,,
  01/09/1893,,,,,,,,,
  01/09/1893,,,,,at anchor off reindeer station port clarence alaska,,port clarence alaska,,
  01/09/1893,,,,,,,,,
  01/09/1893,,,,,at anchor off reindeer station port clarence alaska,,port clarence alaska,,
  02/09/1893,,,,,,,,,
  02/09/1893,,,,,at anchor off port clarence reindeer station alaska,,port clarence alaska,,
  03/09/1893,,,,,,,,,
  03/09/1893,   64 39 N,  166 21 W,,,off reindeer station port clarence alaska,,port clarence alaska,,
  04/09/1893,,,,,,,,,
  04/09/1893,   63 33 N,  161 37 W,63.5,-162,     off fort st michaels,               st michael,,,
  05/09/1893,,,,,,,,,
