  14/07/1901,        NA,        NA_2,48.1,-122.8,            port townsend,            port townsend_2,h,i,j
  11/10/1901,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  12/10/1901,,,,,,,,,
  12/10/1901,,,53.9,-166.5,dutch harbor unalaska alaska,             dutch harbor,,,
  13/10/1901,,,,,,,,,
  13/10/1901,,,53.9,-166.5,dutch harbor unalaska alaska,             dutch harbor,,,
  14/10/1901,,,,,,,,,
  14/10/1901,     53 17,    162 00,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  15/10/1901,,,,,,,,,
  15/10/1901,     53 16,    156 10,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  16/10/1901,,,,,,,,,
  16/10/1901,     53 24,    151 21,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  17/10/1901,,,,,,,,,
  17/10/1901,     53 10,    146 50,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  18/10/1901,,,,,,,,,
  18/10/1901,     52 39,    142 21,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  19/10/1901,,,,,,,,,
  19/10/1901,     52 02,    138 01,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  20/10/1901,,,,,,,,,
  20/10/1901,     50 57,    134 14,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  21/10/1901,,,,,,,,,
  21/10/1901,     50 23,    131 30,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  22/10/1901,,,,,,,,,
  22/10/1901,   49 13 N,  128 08 W,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  23/10/1901,,,,,,,,,
  23/10/1901,,,55,-1.5,          off sook bay bc,                      tic,sooke basin,48 22 45N,123 39 30W
  24/10/1901,,,,,,,,,
  24/10/1901,,,48.1,-122.8,       port townsend wash,            port townsend,,,
  25/10/1901,,,,,,,,,
  25/10/1901,,,47.6,-122.3,       seattle washington,                  seattle,,,
  26/10/1901,,,47.6,-122.3,             seattle wash,                  seattle,,,
  26/10/1901,,,,,,,,,
  26/10/1901,,,,,,,,,
  26/10/1901,,,,,,,,,
  26/10/1901,,,,,,,,,
  26/10/1901,,,,,,,,,
  27/10/1901,,,,,,,,,
  27/10/1901,,,47.6,-122.3,       seattle washington,                  seattle,,,
  28/10/1901,,,47.6,-122.3,       seattle washington,                  seattle,,,
  29/10/1901,,,47.6,-122.3,       seattle washington,                  seattle,,,
  30/10/1901,,,47.3,-122.4,        tacoma washington,                   tacoma,,,
  31/10/1901,,,48.1,117.2,      townsend washington,                    mashi,port townsend washington,48 6 59N,122 46 31W
  01/11/1901,,,47.6,-122.3,             seattle wash,                  seattle,,,
  02/11/1901,,,47.6,-122.6,           bremerton wash,                bremerton,,,
  03/11/1901,,,48.1,-122.8,       at sea puget sound,            port townsend,,,
  04/11/1901,,,47.6,-122.3,             seattle wash,                  seattle,,,
  05/11/1901,,,48.1,-122.8,       port townsend wash,            port townsend,,,
  05/11/1901,,,30.6,117.2, smiths island washington,                    mashi,smith island washington,48 19 06N,122 50 36W
  06/11/1901,,,,,,,,,
  07/11/1901,,,30,48.5,at sea gulf of georgia bc,                      fao,strait of georgia canada,,
  08/11/1901,,,43.1,16.7,           union wharf bc,                     hvar,strait of georgia canada,,
  09/11/1901,,,,,                 union bc,,,,
  10/11/1901,,,37.1,25.1,      at sea haro straits,             paros strait,haro strait,48 33N,123 13W
  10/11/1901,     40 03,  124 52 W,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  11/11/1901,,,,,,,,,
  11/11/1901,     46 21,    124 39,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  12/11/1901,,,,,,,,,
  12/11/1901,     44 51,    124 57,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  13/11/1901,,,,,,,,,
  13/11/1901,     43 29,    125 19,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  14/11/1901,,,,,,,,,
  14/11/1901,     42 53,    125 27,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  15/11/1901,,,,,,,,,
  15/11/1901,     41 08,    124 45,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  16/11/1901,,,,,,,,,
  17/11/1901,,,56.2,-3,at sea north pacific ocean,                    forth,point reyes,37.99677N,123.01984W
  18/11/1901,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  19/11/1901,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  20/11/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  22/11/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  23/11/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  24/11/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  25/11/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  26/11/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  27/11/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  28/11/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  29/11/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  30/11/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  30/11/1901,,,,,,,,,
  01/12/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  02/12/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  03/12/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  04/12/1901,,,37.8,-122.3,                sausalito,                sausalito,,,
  05/12/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  06/12/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  07/12/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  08/12/1901,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  09/12/1901,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  10/12/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  11/12/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  11/12/1901,,,,,,,,,
  12/12/1901,,,56.2,-3,at sea north pacific ocean,                    forth,gulf of the farallones,37.7504857N,122.7516535W
  13/12/1901,,,56.2,-3,at sea north pacific ocean,                    forth,gulf of the farallones,,
  14/12/1901,,,44.1,15.2,at sea off farallon islands,                     zara,farallon islands,37.7249303N,123.0302779W
  15/12/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  16/12/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  17/12/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  18/12/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  19/12/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  20/12/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  21/12/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  22/12/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  23/12/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  24/12/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  25/12/1901,,,37.8,-122.3,     sansalito california,                sausalito,,,
  26/12/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  27/12/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  28/12/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  29/12/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  30/12/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  31/12/1901,,,37.8,-122.3,            sausalito cal,                sausalito,,,
