  14/05/1869,,,,,,,,,
  14/05/1869,   07 01 N,   82 06 W,,,,,,,
  15/05/1869,,,,,,,,,
  15/05/1869,   06 45 N,   80 31 W,9,-79.5,at sea making passage to panama,                   panama,north pacific,,
  16/05/1869,,,,,,,,,
  16/05/1869,   07 34 N,   79 11 W,,,,,,,
  17/05/1869,,,,,,,,,
  17/05/1869,,,9,-79.5,at sea making passage to panama,                   panama,isla de coiba,7 28N,81 47W
  18/05/1869,,,,,,,,,
  18/05/1869,,,9,-79.5,at sea making passage to panama,                   panama,gulf of panama,8.08642N,79.28284W
  19/05/1869,,,,,,,,,
  19/05/1869,,,9,-79.5,at sea making passage to panama,                   panama,gulf of panama,,
  20/05/1869,,,,,,,,,
  20/05/1869,,,9,-79.5,at sea making passage to panama,                   panama,gulf of panama,,
  21/05/1869,,,,,,,,,
  21/05/1869,,,9,-79.5, beating up bay of panama,                   panama,panama bay,8.8333333N,79.25W
   22/5/1869,,,,,,,,,
   22/5/1869,,,9,-79.5,            in panama bay,                   panama,panama bay,,
  23/05/1869,,,,,,,,,
  23/05/1869,,,9,-79.5,            in panama bay,                   panama,panama bay,,
  24/05/1869,,,,,,,,,
  24/05/1869,,,9,-79.5,            in panama bay,                   panama,panama bay,,
  25/05/1869,,,,,,,,,
  25/05/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  26/05/1869,,,,,,,,,
  26/05/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  27/05/1869,,,,,,,,,
  27/05/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  28/05/1869,,,,,,,,,
  28/05/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  29/05/1869,,,,,,,,,
  29/05/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  30/05/1869,,,,,,,,,
  30/05/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  31/05/1869,,,,,,,,,
  31/05/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  01/06/1869,,,,,,,,,
  01/06/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  02/06/1869,,,,,,,,,
  02/06/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  03/06/1869,,,,,,,,,
  03/06/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  04/06/1869,,,,,,,,,
