  01/01/1928,        NA,        NA_2,57,-144,through the gulf of alaska,           gulf of alaska,h,i,j
  01/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  01/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  02/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  02/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  03/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  03/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  04/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  04/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  05/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  05/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  06/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  06/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  07/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  07/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  08/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  08/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  09/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  09/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  10/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  10/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  11/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  11/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  12/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  12/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  13/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  13/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  14/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  14/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  15/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  15/11/1928,,,,,,,,,
  15/11/1928,,,,,,,,,
  15/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  16/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  16/11/1928,,,-22.3,48.5,            juneau alaska,                      fao,juneau alaska,,
  17/11/1928,,,58.3,-135.7,            juneau alaska,            little island,,,
  17/11/1928,   58 50 N,  139 35 W,42.2,41.7,           mud bay alaska,                     poti,mud bay alaska,59 8 54N,135 21 12W
  18/11/1928,,,57,-144,through the gulf of alaska,           gulf of alaska,,,
  18/11/1928,   58 11 N,  136 53 W,57,-144,           mud bay alaska,           gulf of alaska,mud bay alaska,,
  19/11/1928,,,57,-144,through the gulf of alaska,           gulf of alaska,,,
  19/11/1928,,,52.8,173.9,      off portland island,             alaid island,fritz cove,58 19 41N,134 38 30W
  20/11/1928,,,-22.3,166.4,           off noon point,                    nunea,pleasant island alaska,58 21 20N,135 38 53W
  20/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  21/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  21/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  22/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  22/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  23/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  23/11/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  24/11/1928,,,47.7,-52.7,through lynn canal and icy strait,                  tor bay,icy strait,,
  24/11/1928,,,,,,,,,
  24/11/1928,,,58.3,-136.1,through north inian passage,         north inian pass,,,
  24/11/1928,   58 17 N,  137 21 W,58.2,-136.5,       cross sound alaska,              cross sound,,,
  25/11/1928,,,58.2,-136.6,through the gulf of alaska,           gulf of alaska,,,
  25/11/1928,   59 27 N,  142 31 W,30,48.5,           off ocean cape,           gulf of alaska,yakutat alaska,,
  26/11/1928,,,57,-144,through the gulf of alaska,           gulf of alaska,,,
  26/11/1928,   59 18 N,  146 32 W,57,-144,    at sea gulf of alaska,           gulf of alaska,,,
  27/11/1928,,,57,-144,through the gulf of alaska,           gulf of alaska,,,
  27/11/1928,   59 32 N,  141 27 W,57,-144,    at sea gulf of alaska,           gulf of alaska,,,
  28/11/1928,,,57,-144,through the gulf of alaska,           gulf of alaska,,,
  28/11/1928,   59 38 N,  140 11 W,57,-144,    at sea gulf of alaska,           gulf of alaska,,,
  29/11/1928,,,57,-144,through the gulf of alaska,           gulf of alaska,,,
  29/11/1928,   58 08 N,  136 56 W,57,-144,    at sea gulf of alaska,           gulf of alaska,cross sound,,
  30/11/1928,,,57,-144,through the gulf of alaska,           gulf of alaska,cross sound,,
  30/11/1928,,,,,,,,,
  30/11/1928,,,,,,,,,
  30/11/1928,,,,,,,,,
  30/11/1928,,,,,,,,,
  30/11/1928,,,,,,,,,
  30/11/1928,,,,,,,,,
  30/11/1928,,,,,,,,,
  30/11/1928,,,,,,,,,
  30/11/1928,,,,,,,,,
  30/11/1928,,,,,,,,,
  30/11/1928,,,,,,,,,
  30/11/1928,,,,,,,,,
  30/11/1928,   58 07 N,  137 45 W,58.2,-136.6,         off cape spencer,             cape spencer,,,
  01/12/1928,,,57,-144,through the gulf of alaska,           gulf of alaska,,,
  01/12/1928,,,42.2,41.7,           mud bay alaska,                     poti,mud bay alaska,,
  02/12/1928,,,58.3,-135.7,through lynn canal stephens passage and gastineau channel,                    nunea,stephens passage,,
  02/12/1928,,,,,,,,,
  02/12/1928,,,,,,,,,
  02/12/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  03/12/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  03/12/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  04/12/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  04/12/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  05/12/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  05/12/1928,,,,,,,,,
  05/12/1928,,,,,,,,,
  05/12/1928,,,71.2,-155.7,            juneau alaska,             point cooper,juneau alaska,,
  06/12/1928,,,52.8,173.3,through gastineau channel stephens passage and lynn canal,             east channel,stephens passage,,
  06/12/1928,   58 21 N,  137 27 W,,,           mud bay alaska,,,,
  07/12/1928,,,58.2,-136.5,through the gulf of alaska,           gulf of alaska,,,
  07/12/1928,   59 11 N,  139 20 W,54.1,-165.8,           yakutat alaska,                   akutan,yakutat alaska,,
  08/12/1928,,,54.2,-165.7,through the gulf of alaska,           gulf of alaska,,,
  08/12/1928,,,,,,,,,
  08/12/1928,,,57,-144,through the gulf of alaska,           gulf of alaska,,,
  08/12/1928,,,57,120.4,            juneau alaska,                    nunea,juneau alaska,,
  09/12/1928,,,58.2,173.3,through the gulf of alaska,             east channel,juneau alaska,,
  09/12/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  10/12/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  10/12/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  11/12/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  11/12/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  12/12/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  12/12/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  13/12/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  13/12/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  14/12/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  14/12/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  15/12/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  15/12/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  16/12/1928,,,58.3,-135.7,through stephens passage lynn canal and icy strait,               icy strait,,,
  16/12/1928,   58 11 N,  136 52 W,57,-144,               off dupont,           gulf of alaska,cross sound,,
  17/12/1928,,,58.2,-136.6,through the gulf of alaska,             cape spencer,,,
  17/12/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  18/12/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  18/12/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  19/12/1928,,,42.2,37.8,            juneau alaska,                     poti,juneau alaska,,
  19/12/1928,,,41.1,37.8,           tenakee alaska,                     vona,tenakee springs alaska,57 46 41N,135 13 11W
  20/12/1928,,,57,-134.6,   through chatham strait,           chatham strait,,,
  20/12/1928,   57 00 N,  134 24 W,16.8,96.2,            angoon alaska,                  rangoon,angoon alaska,57 29 49N,134 34 25W
  21/12/1928,,,57,96.2,   through chatham strait,                  rangoon,chatham strait,56 57 54N,134 37 32W
  21/12/1928,,,-22.3,41.7,            juneau alaska,                    nunea,juneau alaska,,
  22/12/1928,,,43.1,16.7,       out of kake harbor,                     hvar,kake alaska,56 58 15N,133 56 02W
  22/12/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  23/12/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  23/12/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  24/12/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  24/12/1928,   58 14 N,  136 57 W,57,-144,    at sea gulf of alaska,           gulf of alaska,cross sound,,
  25/12/1928,,,58.3,-144,through the gulf of alaska,           gulf of alaska,,,
  25/12/1928,   59 56 N,  143 20 W,57,-144,        off cape st elias,           gulf of alaska,,,
  26/12/1928,,,57,-144,through the gulf of alaska,           gulf of alaska,,,
  26/12/1928,,,60.5,173.9,           cordova alaska,             alaid island,cordova alaska,60 32 37N,145 45 07W
  27/12/1928,,,60.5,-145.9,       through orca inlet,               orca inlet,,,
  27/12/1928,,,60.5,-145.8,           cordova alaska,                  cordova,,,
  28/12/1928,,,60.5,-145.8,           cordova alaska,                  cordova,,,
  28/12/1928,,,60.5,-145.8,           cordova alaska,                  cordova,,,
  29/12/1928,,,60.5,-145.8,           cordova alaska,                  cordova,,,
  29/12/1928,,,60.5,-145.8,           cordova alaska,                  cordova,,,
  30/12/1928,,,60.5,-145.8,           cordova alaska,                  cordova,,,
  30/12/1928,,,60.5,-145.8,           cordova alaska,                  cordova,,,
  31/12/1928,,,60.5,-145.8,           cordova alaska,                  cordova,,,
  31/12/1928,,,,,,,,,
  31/12/1928,,,,,,,,,
  31/12/1928,,,,,,,,,
  31/12/1928,,,,,,,,,
  31/12/1928,,,,,,,,,
  31/12/1928,,,,,,,,,
  31/12/1928,,,,,,,,,
  31/12/1928,,,,,,,,,
  31/12/1928,,,,,,,,,
  31/12/1928,,,,,,,,,
  31/12/1928,,,,,,,,,
  31/12/1928,,,,,,,,,
  31/12/1928,,,60.5,-145.8,           cordova alaska,                  cordova,,,
