  01/01/1928,        NA,        NA_2,57,-144,through the gulf of alaska,           gulf of alaska,h,i,j
  17/02/1928,,,55.4,-131.8, entering tongass narrows,          tongass narrows,,,
  17/02/1928,,,51.4,0.5,       off green inlet bc,                  chatham,green inlet,52 55 10N,128 28 55W
  18/02/1928,,,52.3,-128.6,          off green inlet,           milbanke sound,,,
  18/02/1928,,,52.1,-128.1,        mcloughlin bay bc,           mcloughlin bay,,,
  19/02/1928,,,52.1,-128.1,        mcloughlin bay bc,           mcloughlin bay,,,
  19/02/1928,,,49.4,-124.2,       ballenas island bc,          ballanes island,ballenas islands,49 21 02N,124 09 36W
  20/02/1928,,,49.3,-125.4,through georgia strait active pass swanson channel and straits of juan de fuca,        strait of georgia,,,
  20/02/1928,,,47.6,-122.3,               seattle wn,                  seattle,,,
  21/02/1928,,,48.1,-122.8,    out port townsend bay,            port townsend,,,
  21/02/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  22/02/1928,,,47.6,-122.3,             seattle wash,                  seattle,,,
  22/02/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  23/02/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  23/02/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  24/02/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  24/02/1928,,,47.6,-122.3,             seattle wash,                  seattle,,,
  25/02/1928,,,47.6,-122.3,               seattle wn,                  seattle,,,
  25/02/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  26/02/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  26/02/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  27/02/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  27/02/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  28/02/1928,,,47.6,-122.3,         into elliott bay,                  seattle,elliott bay,47.603N,122.373W
  28/02/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  29/02/1928,,,47.6,-122.3,             seattle wash,                  seattle,,,
  29/02/1928,,,,,,,,,
  29/02/1928,,,,,,,,,
  29/02/1928,,,,,,,,,
  29/02/1928,,,,,,,,,
  29/02/1928,,,,,,,,,
  29/02/1928,,,,,,,,,
  29/02/1928,,,,,,,,,
  29/02/1928,,,,,,,,,
  29/02/1928,,,,,,,,,
  29/02/1928,,,,,,,,,
  29/02/1928,,,,,,,,,
  29/02/1928,,,,,,,,,
  29/02/1928,,,,,,,,,
  29/02/1928,,,,,,,,,
  29/02/1928,,,47.6,-122.3,             seattle wash,                  seattle,,,
  01/03/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  01/03/1928,,,47.6,-122.3,             seattle wash,                  seattle,,,
  02/03/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  02/03/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  03/03/1928,,,47.6,-122.3,               seattle wn,                  seattle,,,
  03/03/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  04/03/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
