          NA,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  13/06/1891,,,-43,147.8,            ft norfolk va,              norfolk bay,fort norfolk,,
  13/06/1891,,,,,,,,,
  14/06/1891,,,-43,147.8,            ft norfolk va,              norfolk bay,fort norfolk,,
  14/06/1891,,,,,,,,,
  15/06/1891,,,-43,147.8,          fort norfolk va,              norfolk bay,fort norfolk,,
  15/06/1891,,,56.2,41.7,            thimble light,                    forth,thimble shoal light,37.0146N,76.2399W
  16/06/1891,   38 33 N,   74 19 W,36.8,-76.3,at sea making passage from norfok va to new york ny,               norfolk va,north atlantic,,
  16/06/1891,,,54.9,-3,            atlantic city,                    larne,atlantic city new jersey,39.377297N,74.451082W
  17/06/1891,,,30.6,114.8,standing into new york harbor and at anchor off ellis island,            willis island,new york harbor,40 40 06N,74 02 44W
  17/06/1891,,,40.7,-74,            new york city,                 new york,,,
  17/06/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  18/06/1891,,,40.6,-74,marine barracks brooklyn ny,                 brooklyn,brooklyn navy yard,,
  18/06/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  19/06/1891,,,,,,,,,
  20/06/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  20/06/1891,,,,,,,,,
  20/06/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  21/06/1891,,,,,,,,,
  21/06/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  22/06/1891,,,,,,,,,
  23/06/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  23/06/1891,,,,,,,,,
  24/06/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  24/06/1891,,,,,,,,,
  24/06/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  25/06/1891,,,,,,,,,
  26/06/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  26/06/1891,,,,,,,,,
  26/06/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  27/06/1891,,,,,,,,,
  27/06/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  28/06/1891,,,,,,,,,
  28/06/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  29/06/1891,,,,,,,,,
  29/06/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  30/06/1891,,,,,,,,,
  01/07/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  01/07/1891,,,,,,,,,
  01/07/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  02/07/1891,,,,,,,,,
  02/07/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  03/07/1891,,,,,,,,,
  04/07/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  04/07/1891,,,,,,,,,
  04/07/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  05/07/1891,,,,,,,,,
  06/07/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  06/07/1891,,,,,,,,,
  06/07/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  07/07/1891,,,,,,,,,
  08/07/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  08/07/1891,,,,,,,,,
  08/07/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  09/07/1891,,,,,,,,,
  09/07/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  10/07/1891,,,,,,,,,
  10/07/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  11/07/1891,,,,,,,,,
  11/07/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  12/07/1891,,,,,,,,,
  12/07/1891,,,40.7,-74,     navy yard newyork ny,                 new york,,,
  13/07/1891,,,,,,,,,
  13/07/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
14 July 1891,,,,,,,,,
14 July 1891,     40 42,     73 58,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  15/07/1891,   44 05 N,   74 03 W,22.6,59.5,hudson river off 32nd street,                      sur,hudson river,40 42 11N,74 01 34W
  16/07/1891,   40 44 N,   74 00 W,56.2,-3,at anchor off 32nd st north river ny,                    forth,north river hudson,40 47 12N,73 59 31W
  16/07/1891,,,,,,,,,
  16/07/1891,,,56.2,-3,at anchor off 32nd st north river ny,                    forth,hudson river,,
  17/07/1891,,,,,,,,,
  17/07/1891,,,56.2,-3,at anchor off 32nd st north river ny,                    forth,hudson river,,
  18/07/1891,,,,,,,,,
  18/07/1891,,,56.2,-3,at anchor off 32nd st north river ny,                    forth,hudson river,,
  19/07/1891,,,,,,,,,
  19/07/1891,,,56.2,-3,at anchor off 32nd st north river ny,                    forth,hudson river,,
  20/07/1891,,,,,,,,,
  20/07/1891,,,56.2,-3,at anchor off 32nd st north river ny,                    forth,hudson river,,
  21/07/1891,,,,,,,,,
  21/07/1891,,,56.2,-3,at anchor off 32nd st north river ny,                    forth,hudson river,,
  22/07/1891,,,,,,,,,
  22/07/1891,,,56.2,-3,at anchor off 32nd st north river ny,                    forth,hudson river,,
  23/07/1891,,,,,,,,,
  23/07/1891,,,56.2,-3,at anchor off 32nd st north river ny,                    forth,hudson river,,
  24/07/1891,,,,,,,,,
  24/07/1891,,,56.2,-3,at anchor off 32nd st north river ny,                    forth,hudson river,,
  25/07/1891,,,32.2,119.3,falkner island light e34n distant 2 miles,              deer island,falkner island,41 12 39N,72 39 11W
  25/07/1891,,,32,120.4,at anchor off faulkners island li sound and under way standing to the eastward to fishers isld,              rose island,long island sound,41 05 48N,72 52 52W
  26/07/1891,,,55,120.4,           fishers island,              rose island,fishers island new york,41 15 43N,72 0 26W
  26/07/1891,,,32,120.4,at anchor off fishers island li sound,              rose island,fishers island new york,,
  27/07/1891,,,,,,,,,
  27/07/1891,,,32,120.4,at anchor off fishers island l i sound,              rose island,fishers island new york,,
  28/07/1891,,,,,,,,,
  28/07/1891,,,32,120.4,at anchor off fishers island li sound and underway in black isld sound,              rose island,fishers island new york,,
  29/07/1891,,,,,,,,,
  29/07/1891,,,32,120.4,at anchor off fishers island li sound,              rose island,fishers island new york,,
  30/07/1891,,,,,,,,,
  30/07/1891,,,32,120.4,at anchor off fishers island li sound,              rose island,fishers island new york,,
  31/07/1891,,,51.5,59.5,             thames river,                      sur,thames river connecticut,41 18 08N,72 04 46W
  31/07/1891,,,51.5,-0.1,moored in thames river new london conn,                   london,thames river connecticut,,
  01/08/1891,,,51.5,-0.1,               new london,                   london,new london connecticut,41.354069N,72.10104W
  02/08/1891,,,51.5,-0.1,moored in thames river below new london conn,                   london,thames river connecticut,,
  02/08/1891,,,,,,,,,
  03/08/1891,,,51.5,-0.1,moored in thames river below new london conn and underway,                   london,thames river connecticut,,
  03/08/1891,,,65,-171.7,stratford shoal lt bearing pc w 12 s distant 2 miles,              king island,stratford shoal light,41 3 35.3N,73 6 4.7W
  04/08/1891,,,-17.5,-149.8,at anchor hempstead bay l i underway moored in north river off 32nd st,                   moorea,hempstead bay,40 50 50N,73 39 41W
  04/08/1891,,,,,,,,,
  04/08/1891,,,-17.5,-149.8, moored in north river ny,                   moorea,north river hudson,,
  05/08/1891,,,,,,,,,
  05/08/1891,,,-17.5,-149.8, moored in north river ny,                   moorea,north river hudson,,
  06/08/1891,,,,,,,,,
  06/08/1891,,,-17.5,-149.8, moored in north river ny,                   moorea,north river hudson,,
  07/08/1891,,,,,,,,,
  07/08/1891,,,56.2,-3, moored in north river ny,                    forth,north river hudson,,
  08/08/1891,,,,,,,,,
  08/08/1891,,,56.2,-3,           north river ny,                    forth,north river hudson,,
  09/08/1891,,,,,,,,,
