  05/05/1886,        NA,        NA_2,37.8,-122.4,            san francisco,            san francisco_2,h,i,j
  23/08/1886,,,55,-1.5,                c blossom,                      tic,cape blossom,66 44 03N,0001-10-22
  24/08/1886,   66 41 N,  162 36 W,,,,,,,
  24/08/1886,,,66.5,-162.8,off cape blossom kotzibue sound alaska,           kotzebue sound,,,
  25/08/1886,,,,,,,,,
  25/08/1886,,,59.9,10.8,             cape blossom,                     oslo,cape blossom,,
  26/08/1886,   66 40 N,  163 58 W,,,,,,,
  26/08/1886,,,66.5,-162.8,           kotzebue sound,           kotzebue sound,,,
  27/08/1886,,,73.8,-87,            cape york n 3,                cape york,port clarence,65 15 58N,0001-03-12
  27/08/1886,,,,,,,,,
  28/08/1886,   63 57 N,  163 25 W,,,,,,,
  28/08/1886,,,55,166.3,              behring sea,                  behring,norton sound,,
  29/08/1886,   63 28 N,  162 50 W,63.5,-162,               st michael,               st michael,,,
  29/08/1886,,,,,             norton sound,,,,
  30/08/1886,,,,,             norton sound,,,,
  30/08/1886,,,63.5,-162,              st michaels,               st michael,,,
  31/08/1886,,,63.5,-162,               st michael,               st michael,,,
  31/08/1886,,,63.5,-162,              st michaels,               st michael,,,
  01/09/1886,,,63.5,-162,               st michael,               st michael,,,
  01/09/1886,,,63.5,-162,              st michaels,               st michael,,,
  02/09/1886,,,63.5,-162,               st michael,               st michael,,,
  02/09/1886,,,63.5,-162,              st michaels,               st michael,,,
  03/09/1886,,,63.5,-162,               st michael,               st michael,,,
  03/09/1886,,,63.5,-162,              st michaels,               st michael,,,
  04/09/1886,   63 56 N,  162 50 W,,,,,,,
  04/09/1886,,,63.5,-162,              st michaels,               st michael,,,
  05/09/1886,   64 07 N,  169 25 W,,,,,,,
  05/09/1886,,,,,                   at sea,,,,
  06/09/1886,,    173 17,64.4,-173.3,       plover bay siberia,               plover bay,,,
  06/08/1886,,,,,,,,,
  07/09/1886,,,43.7,7.2,       st lawrence island,                     nice,st lawrence island,63 24N,0001-03-12
  07/09/1886,,,64.4,-173.3,               plover bay,               plover bay,,,
  08/09/1886,   61 07 N,  171 35 W,,,,,,,
  08/09/1886,,,,,,,,,
  09/09/1886,   58 38 N,  170 35 W,,,,,,,
