  01/01/1877,        NA,        NA_2,56.2,-3,     at sea north pacific,                    forth,north pacific,i,j
  08/02/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  08/02/1877,,,,,,,,,
  09/02/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  09/02/1877,,,,,,,,,
  10/02/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  10/02/1877,,,,,,,,,
  11/02/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  11/02/1877,,,,,,,,,
  12/02/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  12/02/1877,,,,,,,,,
  13/02/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  13/02/1877,,,,,,,,,
  14/02/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  14/02/1877,,,,,,,,,
  15/02/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  15/02/1877,,,,,,,,,
  16/02/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  16/02/1877,,,,,,,,,
  17/02/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  17/02/1877,,,,,,,,,
  18/02/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  18/02/1877,,,,,,,,,
  19/02/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  19/02/1877,,,,,,,,,
  20/02/1877,,,21.3,-157.9,              honelulu hi,                 honolulu,,,
  20/02/1877,,,,,,,,,
  21/02/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  21/02/1877,,,,,,,,,
  22/02/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  22/02/1877,,,,,,,,,
  23/02/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  23/02/1877,,,,,,,,,
  24/02/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  24/02/1877,,,,,,,,,
  25/02/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  25/02/1877,,,,,,,,,
  26/02/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  26/02/1877,,,,,,,,,
  27/02/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  27/02/1877,,,,,,,,,
  28/02/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  28/02/1877,,,,,,,,,
