          NA,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  11/12/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  12/12/1897,,,,,,,,,
  12/12/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  13/12/1897,,,,,,,,,
  13/12/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  14/12/1897,,,,,,,,,
  14/12/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  15/12/1897,,,,,,,,,
  15/12/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  16/12/1897,,,,,,,,,
  16/12/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  17/12/1897,,,,,,,,,
  17/12/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  18/12/1897,,,,,,,,,
  18/12/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  19/12/1897,,,,,,,,,
  19/12/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  20/12/1897,,,,,,,,,
  20/12/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  21/12/1897,,,,,,,,,
  21/12/1897,,,36.8,-76.3,moored alongside seawall portsmouth nh,            portsmouth va,portsmouth new hampshire,,
  22/12/1897,,,,,,,,,
  22/12/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  23/12/1897,,,,,,,,,
  23/12/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  24/12/1897,,,,,,,,,
  24/12/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  25/12/1897,,,,,,,,,
  25/12/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  26/12/1897,,,,,,,,,
  26/12/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  27/12/1897,,,,,,,,,
  27/12/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  28/12/1897,,,,,,,,,
  28/12/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  29/12/1897,,,,,,,,,
  29/12/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  30/12/1897,,,,,,,,,
  30/12/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  31/12/1897,,,,,,,,,
  31/12/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
 01/01/1897~,,,,,,,,,
 01/01/1897~,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  02/01/1898,,,,,,,,,
  02/01/1898,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  03/01/1897,,,,,,,,,
  03/01/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  04/01/1898,,,,,,,,,
  04/01/1898,   41 52 N,   69 47 W,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,north atlantic,,
  05/01/1898,,,29.9,32.6,making passage to newport ri,                   port t,cape cod,41 41N,0001-03-26
  05/01/1898,   41 12 N,   70 56 W,36.8,32.6,making passage from portsmouth nh to newport ri,                   port t,north atlantic,,
  06/01/1898,,,,,,,,,
  06/01/1898,,,29.9,32.6,moored to buoy off training station newport ri,                   port t,newport navy yard,41 31 20N,0001-08-13
  07/01/1898,,,,,,,,,
  07/01/1898,,,29.9,32.6,moored to buoy off training station newport ri,                   port t,newport navy yard,,
  08/01/1898,,,,,,,,,
  08/01/1898,,,29.9,32.6,moored to buoy off training station newport ri,                   port t,newport navy yard,,
  08/01/1898,,,,,,,,,
  08/01/1898,,,29.9,32.6,moored to buoy off training station newport ri,                   port t,newport navy yard,,
  09/01/1898,,,,,,,,,
  09/01/1898,,,29.9,32.6,moored to bouy off training station newport ri,                   port t,newport navy yard,,
  10/01/1898,,,,,,,,,
  10/01/1898,,,29.9,32.6,moored to buoy off training station new port ri,                   port t,newport navy yard,,
  11/01/1898,,,,,,,,,
  11/01/1898,,,29.9,32.6,moored to buoy off training station newport ri,                   port t,newport navy yard,,
  12/01/1898,,,,,,,,,
  12/01/1898,,,29.9,32.6,moored to buoy off training station new port ri,                   port t,newport navy yard,,
  13/01/1898,,,,,,,,,
  13/01/1898,,,29.9,32.6,moored to buoy off training station newport ri,                   port t,newport navy yard,,
  14/01/1898,,,,,,,,,
  14/01/1898,,,29.9,32.6,moored to buoy off training station newport ri,                   port t,newport navy yard,,
  15/01/1898,,,,,,,,,
  15/01/1898,,,29.9,32.6,moored to buoy off training station newport ri and making pass,                   port t,newport navy yard,,
  16/01/1898,,,29.9,32.6,               newport ri,                   port t,newport rhode island,41.488002N,0002-05-15
  17/01/1898,   38 39 N,   68 43 W,13.2,-59.6,at sea making passage from newport ri to st thomas west indies,                st thomas,north atlantic,,
  17/01/1898,,,13.2,-59.6,at sea enroute to st thomas wi,                st thomas,bermuda,32 20N,0001-11-12
  18/01/1898,   35 47 N,   65 50 W,13.2,-59.6,at sea making passage from newport ri to st thomas west indies,                st thomas,north atlantic,,
  18/01/1898,,,,,,,,,
  18/01/1898,   33 32 N,   63 05 W,,,                   at sea,,,,
  19/01/1898,,,,,,,,,
  20/01/1898,   33 24 N,   60 40 W,,,                   at sea,,,,
  20/01/1898,,,,,,,,,
  20/01/1898,   32 24 N,   60 15 W,,,                   at sea,,,,
