  01/01/1917,        NA,        NA_2,47.6,-122.3,       seattle washington,                  seattle,h,i,j
  19/03/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  19/03/1917,,,,,,,,,
  20/03/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  20/03/1917,,,,,,,,,
  21/03/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  21/03/1917,,,,,,,,,
  22/03/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  22/03/1917,,,,,,,,,
  23/03/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  23/03/1917,,,,,,,,,
  24/03/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  24/03/1917,,,,,,,,,
  25/03/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  25/03/1917,,,,,,,,,
  26/03/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  26/03/1917,,,,,,,,,
  27/03/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  27/03/1917,,,,,                navy yard,,,,
  28/03/1917,,,,, navy yard puget sound wn,,,,
  28/03/1917,,,,,,,,,
  29/03/1917,,,,, navy yard puget sound wn,,,,
  29/03/1917,,,,,,,,,
  30/03/1917,,,,, navy yard puget sound wn,,,,
  30/03/1917,,,,,,,,,
  31/03/1917,,,30.6,117.2,navy yard puget sound washington,                    mashi,puget sound navy yard,47.5585N,122.6442W
  31/03/1917,,,,,,,,,
  31/03/1917,,,,,,,,,
  31/03/1917,,,,,,,,,
  31/03/1917,,,,,,,,,
  31/03/1917,,,,,,,,,
  31/03/1917,,,,,,,,,
  31/03/1917,,,,,,,,,
  31/03/1917,,,,,,,,,
  31/03/1917,,,,,,,,,
  31/03/1917,,,,,,,,,
  31/03/1917,,,,,,,,,
  01/04/1917,,,,,    navy yard puget sound,,,,
  01/04/1917,,,,,,,,,
  02/04/1917,,,,,    navy yard puget sound,,,,
    2/4/1917,,,,,,,,,
  03/04/1917,,,,,    navy yard puget sound,,,,
  03/04/1917,,,,,,,,,
  04/04/1917,,,,,    navy yard puget sound,,,,
  04/04/1917,,,,,,,,,
  05/04/1917,,,,, navy yard puget sound wn,,,,
  05/04/1917,,,,,,,,,
  06/04/1917,,,,, navy yard puget sound wn,,,,
  06/04/1917,,,,,,,,,
  07/04/1917,,,,,    navy yard puget sound,,,,
  07/04/1917,,,,,,,,,
  08/04/1917,,,,,    navy yard puget sound,,,,
  08/04/1917,,,,,,,,,
  09/04/1917,,,,, navy yard puget sound wn,,,,
  09/04/1917,,,,,,,,,
  10/04/1917,,,,,    navy yard puget sound,,,,
  10/04/1917,     10 04,,-17.5,-149.8,moored at west side pier 6,                   moorea,puget sound navy yard,,
  11/04/1917,,,,,    navy yard puget sound,,,,
  11/04/1917,,,,,,,,,
  12/04/1917,,,,, navy yard puget sound wn,,,,
  12/04/1917,,,,,,,,,
  13/04/1917,,,30.6,117.2,navy yard puget sound washington,                    mashi,puget sound navy yard,,
  13/04/1917,,,,,,,,,
  13/04/1917,,,,,,,,,
  13/04/1917,,,,,,,,,
  14/04/1917,,,47.6,-122.6,           bremerton wash,                bremerton,,,
  14/04/1917,,,,,,,,,
  15/04/1917,   48 15 N,  123 54 W,29.9,32.6,  port angeles washington,                   port t,port angeles washington,48 06 47N,123 26 27W
  15/04/1917,,,,,,,,,
  16/04/1917,   46 14 N,  124 51 W,,,,,,,
  16/04/1917,,,,,,,,,
  17/04/1917,,,46.2,-123.8,           astoria oregon,                  astoria,,,
  17/04/1917,,,,,,,,,
  18/04/1917,,,46.2,-123.8,           astoria oregon,                  astoria,,,
  18/04/1917,,,,,,,,,
  19/04/1917,,,46.2,-123.8,           astoria oregon,                  astoria,,,
  19/04/1917,,,,,,,,,
  20/04/1917,,,46.2,-123.8,           astoria oregon,                  astoria,,,
  20/04/1917,,,,,,,,,
  21/04/1917,,,46.2,-123.8,           astoria oregon,                  astoria,,,
  21/04/1917,,,,,,,,,
  22/04/1917,,,46.2,-123.8,           astoria oregon,                  astoria,,,
  22/04/1917,,,,,,,,,
  23/04/1917,,,46.2,-123.8,           astoria oregon,                  astoria,,,
  23/04/1917,,,,,,,,,
  24/04/1917,,,46.2,-123.8,           astoria oregon,                  astoria,,,
  24/04/1917,,,,,,,,,
  25/04/1917,,,46.2,-123.8,           astoria oregon,                  astoria,,,
  25/04/1917,,,,,,,,,
  26/04/1917,,,46.2,-123.8,           astoria oregon,                  astoria,,,
  26/04/1917,,,,,,,,,
  27/04/1917,,,46.2,-123.8,           astoria oregon,                  astoria,,,
  27/04/1917,,,,,,,,,
  28/04/1917,,,46.2,-123.8,           astoria oregon,                  astoria,,,
  28/04/1917,,,,,,,,,
  29/04/1917,,,46.2,-123.8,           astoria oregon,                  astoria,,,
  29/04/1917,,,,,,,,,
  30/04/1917,,,46.2,-123.8,           astoria oregon,                  astoria,,,
  30/04/1917,,,,,,,,,
  30/04/1917,,,,,,,,,
  30/04/1917,,,,,,,,,
  30/04/1917,,,,,,,,,
  30/04/1917,,,,,,,,,
  30/04/1917,,,,,,,,,
  30/04/1917,,,,,,,,,
  30/04/1917,,,,,,,,,
  30/04/1917,,,,,,,,,
  30/04/1917,,,,,,,,,
  30/04/1917,,,,,,,,,
  01/05/1917,,,46.2,-123.8,           astoria oregon,                  astoria,,,
  01/05/1917,,,,,,,,,
  02/05/1917,,,46.2,-123.8,           astoria oregon,                  astoria,,,
  02/05/1917,,,,,,,,,
  03/05/1917,,,46.2,-123.8,           astoria oregon,                  astoria,,,
  03/05/1917,,,,,,,,,
  04/05/1917,,,46.2,-123.8,           astoria oregon,                  astoria,,,
  04/05/1917,,,,,,,,,
  05/05/1917,,,46.2,-123.8,           astoria oregon,                  astoria,,,
  05/05/1917,,,,,,,,,
