  12/01/1930,        NA,        NA_2,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,58.3014485N,134.4216125W
  21/03/1930,     59 33,    148 14,60.1,-149.4,            seward alaska,                   seward,,,
  22/03/1930,,,,,,,,,
  22/03/1930,   58 20 N,  140 12 W,,,,,,,
  23/03/1930,,,,,,,,,
  23/03/1930,,,-22.3,166.4,        gastineau channel,             east channel,juneau alaska,,
  24/03/1930,,,,,,,,,
  24/03/1930,,,-22.3,48.5,            juneau alaska,                      fao,juneau alaska,,
  25/03/1930,,,,,,,,,
  25/03/1930,,,55.5,-132.1,        off niblack point,            niblack point,,,
  26/03/1930,,,,,,,,,
  26/03/1930,,,,,,,,,
  26/03/1930,,,,,,,,,
  26/03/1930,,,-17.7,168.3,    watson rr gunville ch,                     vila,queen charlotte sound,,
  27/03/1930,,,,,,,,,
  27/03/1930,     51 27,    129 15,,,                  jane is,,,,
  28/03/1930,,,,,,,,,
  28/03/1930,     49 05,    127 33,,,,,,,
  29/03/1930,,,,,,,,,
  29/03/1930,,,,,              elliott bay,,,,
  30/03/1930,,,,,,,,,
  30/03/1930,,,47.6,-122.3,       seattle washington,                  seattle,,,
  31/03/1930,,,,,,,,,
  31/03/1930,,,,,,,,,
  31/03/1930,,,,,,,,,
  31/03/1930,,,,,,,,,
  31/03/1930,,,,,,,,,
  31/03/1930,,,,,,,,,
  31/03/1930,,,,,,,,,
  31/03/1930,,,,,,,,,
  31/03/1930,,,,,,,,,
  31/03/1930,,,,,,,,,
  31/03/1930,,,,,,,,,
  31/03/1930,,,47.6,-122.3,       seattle washington,                  seattle,,,
  01/04/1930,,,,,,,,,
  01/04/1930,,,47.6,-122.3,       seattle washington,                  seattle,,,
  02/04/1930,,,,,,,,,
  02/04/1930,,,47.6,-122.3,       seattle washington,                  seattle,,,
  03/04/1930,,,,,,,,,
  03/04/1930,,,47.6,-122.3,       seattle washington,                  seattle,,,
  04/04/1930,,,,,,,,,
  04/04/1930,,,47.6,-122.3,       seattle washington,                  seattle,,,
  05/04/1930,,,,,,,,,
  05/04/1930,,,47.6,-122.3,       seattle washington,                  seattle,,,
  06/04/1930,,,,,,,,,
  06/04/1930,,,47.6,-122.3,       seattle washington,                  seattle,,,
  07/04/1930,,,,,,,,,
  07/04/1930,,,47.6,-122.3,       seattle washington,                  seattle,,,
  08/04/1930,,,,,,,,,
  08/04/1930,,,47.6,-122.3,       seattle washington,                  seattle,,,
  09/04/1930,,,,,,,,,
  09/04/1930,,,47.6,-122.3,       seattle washington,                  seattle,,,
  10/04/1930,,,,,,,,,
  10/04/1930,,,47.6,-122.3,       seattle washington,                  seattle,,,
  11/04/1930,,,,,,,,,
  11/04/1930,,,47.6,-122.3,       seattle washington,                  seattle,,,
  12/04/1930,,,,,,,,,
  12/04/1930,,,47.6,-122.3,       seattle washington,                  seattle,,,
  13/04/1930,,,,,,,,,
  13/04/1930,,,47.6,-122.3,              puget sound,                  seattle,,,
  14/04/1930,,,,,,,,,
  14/04/1930,   48 13 N,  123 21 W,47.6,-122.6,     bremerton washington,                bremerton,,,
  15/04/1930,,,,,,,,,
  15/04/1930,   49 30 N,  127 05 W,,,,,,,
  16/04/1930,,,,,,,,,
  16/04/1930,   51 46 N,  131 37 W,,,,,,,
  17/04/1930,,,,,,,,,
  17/04/1930,   55 32 N,  135 04 W,,,,,,,
  18/04/1930,,,,,,,,,
  18/04/1930,,,,,        lynn canal alaska,,,,
  19/04/1930,,,,,,,,,
  19/04/1930,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  20/04/1930,,,,,,,,,
  20/04/1930,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  22/04/1930,,,,,,,,,
  22/04/1930,   58 19 N,  137 38 W,50.2,-125.3,off spasshain island alaska,            chain islands,lituya bay,58 38 13N,2017-12-12T01:37:00
  22/04/1930,,,,,,,,,
  22/04/1930,   58 58 N,  142 02 W,,,,,,,
  23/04/1930,,,,,,,,,
  23/04/1930,   58 25 N,  149 05 W,,,,,,,
  27/04/1930,,,,,,,,,
  27/04/1930,   58 56 N,  149 21 W,,,,,,,
  25/04/1930,,,,,,,,,
  25/04/1930,   59 33 N,  148 30 W,60.1,-149.4,            seward alaska,                   seward,,,
  26/04/1930,,,,,,,,,
  26/04/1930,,,60.1,-149.4,            seward alaska,                   seward,,,
  27/04/1930,,,,,,,,,
  27/04/1930,,,60.1,-149.4,            seward alaska,                   seward,,,
  28/04/1930,,,,,,,,,
  28/04/1930,   58 59 N,  149 37 W,60,-149.4,            seward alaska,                   seward,,,
  29/04/1930,,,,,,,,,
  29/04/1930,   57 30 N,    156 38,,,,,,,
  30/04/1930,,,,,,,,,
  30/04/1930,,,,,,,,,
  30/04/1930,,,,,,,,,
  30/04/1930,,,,,,,,,
  30/04/1930,,,,,,,,,
  30/04/1930,,,,,,,,,
  30/04/1930,,,,,,,,,
  30/04/1930,,,,,,,,,
  30/04/1930,,,,,,,,,
  30/04/1930,,,,,,,,,
  30/04/1930,,,,,,,,,
  30/04/1930,   56 58 N,  152 06 W,,,,,,,
  01/05/1930,,,,,,,,,
  01/05/1930,   58 05 N,  151 35 W,29.5,35,       chiniak bay alaska,                    akaba,marmot island,58 12 56N,2017-12-12T01:51:00
  02/05/1930,,,,,,,,,
  02/05/1930,,,57.8,-152.4,            kodiak alaska,                   kodiak,,,
  03/05/1930,,,,,,,,,
  03/05/1930,,,57.8,-152.4,            kodiak alaska,                   kodiak,,,
  04/05/1930,,,,,,,,,
  04/05/1930,,,57.8,-152.4,            kodiak alaska,                   kodiak,,,
  05/05/1930,,,,,,,,,
  05/05/1930,   57 41 N,  154 28 W,66.2,-152.4,            kodiak alaska,                   whalen,shelikof strait,57 52 54N,2018-02-06T01:54:00
  06/05/1930,,,,,,,,,
  06/05/1930,,,,,,,,,
  06/05/1930,,,,,,,,,
  06/05/1930,   56 39 N,  156 27 W,,,,,,,
  07/05/1930,,,,,,,,,
  07/05/1930,   56 11 N,  157 30 W,38.5,-28.6,     anchorage bay alaska,                    horta,chignik alaska,56 17 54N,2017-10-24T01:58:00
  08/05/1930,,,,,,,,,
  08/05/1930,,,,,,,,,
  08/05/1930,,,,,,,,,
