  15/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  16/03/1935	        NA	        NA	      33.8	    -118.2	alongside standard gypsum co wharf long beach calif	               long beach	
  16/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  17/03/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  17/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  18/03/1935	        NA	        NA	      33.8	    -118.2	alongside standard gypsum company wharf long beach calif	               long beach	
  18/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  19/03/1935	        NA	        NA	      33.8	    -118.2	alongside standard gypsum co wharf long beach calif	               long beach	
  19/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  20/03/1935	        NA	        NA	      33.8	    -118.2	alongside standard gypsum co wharf long beach calif	               long beach	
  20/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  21/03/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  21/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  22/03/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  22/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  23/03/1935	        NA	        NA	      33.8	    -118.2	alongside standard gypsum co wharf long beach calif	               long beach	
  23/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  24/03/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  24/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  25/03/1935	        NA	        NA	      33.8	    -118.2	standard gypsum company wharf long beach cal	               long beach	
  25/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  25/03/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  25/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  26/03/1935	        NA	        NA	      33.8	    -118.2	alongside pier 1 berth 48 long beach california	               long beach	
  26/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  27/03/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  27/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  28/03/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  28/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  29/03/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  29/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  30/03/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  30/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  31/03/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  31/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/04/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  01/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/04/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  01/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  02/04/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  02/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  03/04/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  03/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  04/04/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  04/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  05/04/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  05/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  06/04/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
